TF	target	importance
FGF9	WT1mKTS	0.02572448795024786
FGF9	NR5A1	0.025392203730473444
CTNNB1	DMRT1	0.025273412097653335
NR0B1	CBX2	0.02502725357174458
WNT4	DKK1	0.024706664114104947
SRY	AMH	0.02469498942314567
CBX2	CTNNB1	0.024641688058300033
WNT4	CBX2	0.024418164352940388
FOXL2	SRY	0.024214622130091193
CBX2	SRY	0.02412595709207655
WNT4	DMRT1	0.023214593729672637
DHH	UGR	0.02290226985987807
GATA4	NR5A1	0.022794240255963303
WT1mKTS	NR0B1	0.022760275024184776
WNT4	WT1pKTS	0.022757362057489253
DHH	CBX2	0.022581826198113653
GATA4	NR0B1	0.022478151985291576
NR5A1	UGR	0.02245668833893365
SRY	PGD2	0.022387700855323062
SRY	DHH	0.022295419907785424
SRY	WNT4	0.02225395465912872
DKK1	FOXL2	0.02209978457511421
WT1pKTS	DKK1	0.022054437520084
FGF9	UGR	0.021899059189439535
SOX9	NR0B1	0.021780046727349792
WT1pKTS	DMRT1	0.0217659948458127
CBX2	DMRT1	0.021515635791995807
SOX9	RSPO1	0.021430562554316707
DKK1	NR0B1	0.021406822711007103
CTNNB1	DKK1	0.02121958689971952
SRY	FGF9	0.02110030979940069
RSPO1	SOX9	0.021097258576180073
WNT4	DHH	0.02088915249162756
WNT4	FGF9	0.020631150079487803
NR5A1	SRY	0.02051786899987035
CBX2	WT1pKTS	0.020344384439210907
FOXL2	NR0B1	0.020155265803044543
WT1mKTS	NR5A1	0.020070252205277236
DMRT1	NR0B1	0.019848608654372744
PGD2	CBX2	0.019589124520403716
FGF9	CBX2	0.019324836183307215
CBX2	DKK1	0.019217067363963714
PGD2	NR5A1	0.019167668809630334
WNT4	AMH	0.018984699590413875
WNT4	PGD2	0.018932592351367596
UGR	RSPO1	0.018864448271177878
CBX2	WNT4	0.018659246564837008
PGD2	UGR	0.01858107883454062
DHH	NR5A1	0.018126429172132565
UGR	CTNNB1	0.018079059914214022
SOX9	WT1pKTS	0.01760059995490748
AMH	NR5A1	0.01693206191160135
DMRT1	RSPO1	0.01666687114834943
AMH	UGR	0.016556873478953342
PGD2	WNT4	0.01649733011099244
DHH	WNT4	0.016345955167916173
WT1pKTS	UGR	0.01633749858688491
DKK1	RSPO1	0.016237815956612053
RSPO1	SRY	0.01618894317826768
WT1pKTS	NR0B1	0.015849168960024203
UGR	NR5A1	0.01571406225042903
WNT4	SRY	0.015290912001947146
NR5A1	FGF9	0.015207097001561976
UGR	WT1pKTS	0.014650337857153469
WT1pKTS	WNT4	0.01423722952787381
NR5A1	DHH	0.014082246794927996
NR0B1	WT1pKTS	0.013927155294549562
AMH	CBX2	0.012873509125392533
AMH	WNT4	0.012742297343034455
NR5A1	DKK1	0.012640820237204605
NR5A1	PGD2	0.012206546093649481
NR5A1	AMH	0.012143821268547565
WT1mKTS	WNT4	0.01152070867411121
FGF9	RSPO1	0.011376702683162633
NR5A1	DMRT1	0.01114100550308009
CBX2	FOXL2	0.011105959176287055
UGR	DKK1	0.010965686182650175
FOXL2	UGR	0.010774185490561923
UGR	DMRT1	0.010622198866765213
RSPO1	DMRT1	0.009936341699410982
GATA4	WNT4	0.009923581013449678
PGD2	RSPO1	0.009835843116067099
CTNNB1	SOX9	0.00949802701713455
RSPO1	AMH	0.009451202340943756
UGR	FOXL2	0.009391006499068254
PGD2	WT1pKTS	0.009335090572009635
WT1mKTS	FOXL2	0.009147412053696626
RSPO1	DHH	0.00894260812017547
FOXL2	DKK1	0.00876147329814049
RSPO1	DKK1	0.00867282504185806
DHH	RSPO1	0.008413260984464016
NR0B1	SOX9	0.008364224971111906
SOX9	CTNNB1	0.008145875689905662
FGF9	WT1pKTS	0.007956761113067928
GATA4	SRY	0.00791182637972918
GATA4	RSPO1	0.007770446263152368
UGR	SOX9	0.007764478020140368
SOX9	FOXL2	0.007741756278987507
WT1mKTS	SRY	0.007589631561655123
FOXL2	DMRT1	0.00740303233933098
DHH	WT1pKTS	0.007356257456334807
AMH	RSPO1	0.007143611828443682
WT1mKTS	RSPO1	0.006607060002726938
GATA4	CTNNB1	0.0063156136394361935
CBX2	SOX9	0.006262058694607997
AMH	WT1pKTS	0.006234157867242438
FGF9	CTNNB1	0.006069288932609864
PGD2	CTNNB1	0.006032610075638478
GATA4	FOXL2	0.005984872246970704
WT1mKTS	CTNNB1	0.0058107992333670195
RSPO1	PGD2	0.005614950388626383
RSPO1	FGF9	0.005608696718373621
NR0B1	DKK1	0.005574159996919194
NR0B1	DMRT1	0.005511200116656296
CTNNB1	DHH	0.005303503386576114
UGR	AMH	0.005108026200245271
CBX2	AMH	0.004786951550909978
DHH	CTNNB1	0.0046949132633014035
WT1pKTS	SOX9	0.004588653733719471
AMH	FOXL2	0.00449786160246159
UGR	FGF9	0.004256914021597056
AMH	CTNNB1	0.00420985618533623
CBX2	DHH	0.00412669944810329
WT1pKTS	AMH	0.004100795866754406
UGR	DHH	0.00397193014130736
UGR	PGD2	0.0039445804831622815
DHH	FOXL2	0.0038073545233829973
PGD2	FOXL2	0.0037862677070720453
FGF9	FOXL2	0.0036543306138947184
CTNNB1	AMH	0.0035804502884069144
FOXL2	SOX9	0.003555702605414342
WT1pKTS	FGF9	0.003495048373952441
GATA4	SOX9	0.0034840992174720096
WT1mKTS	SOX9	0.003481645665475646
CTNNB1	PGD2	0.0034522086820426043
CBX2	PGD2	0.0034480944080788295
CTNNB1	FGF9	0.0033520463457066955
WT1mKTS	DMRT1	0.003278940364954344
WT1mKTS	DKK1	0.0032086970850389814
GATA4	DMRT1	0.003190993019078327
GATA4	DKK1	0.003162163966544683
WT1mKTS	AMH	0.0031082590565012563
FOXL2	FGF9	0.002943896100729927
CBX2	FGF9	0.0028019362664383454
GATA4	FGF9	0.0026966176863770022
WT1pKTS	DHH	0.002618387261419147
FOXL2	AMH	0.002482892389080857
FOXL2	DHH	0.0024543170907793837
WT1pKTS	PGD2	0.0024463538161820057
WT1mKTS	FGF9	0.0022606643381711997
WT1mKTS	DHH	0.002259044955586766
GATA4	AMH	0.002255517079681809
GATA4	DHH	0.0021055988881585083
FOXL2	PGD2	0.001971202917512997
WT1mKTS	PGD2	0.0018259308932478961
GATA4	PGD2	0.0017206369777081256
