TF	target	importance
IGHG2	IGHGP	0.1375454957973571
IGHV4-61	IGKV2D-29	0.13583679324532205
IGHA1	TPSAB1	0.13561685763563702
IGHG3	IGHV4-59	0.13490588097735484
IGKV1-9	IGHV5-10-1	0.13442032684255678
IGHV4-61	IGLV2-11	0.13409942405335282
IGHG3	IGKV2D-28	0.13212785401390048
IGHGP	IGHG2	0.13200632715908558
IGHV4-61	JCHAIN	0.1285302905729168
IGHA1	PPBP	0.12659541202662924
JCHAIN	IGKV3-20	0.12651785477625768
IGKV2D-29	IGHGP	0.12324491864132782
JCHAIN	TPSAB1	0.12202262374409117
IGHGP	IGKV3-20	0.12093755582577892
JCHAIN	IGHV4-59	0.1176442617388181
IGKV1-33	IGHG2	0.1175603964249761
IGHV4-39	JCHAIN	0.11637785963189451
IGHV4-61	IGKV3-20	0.1156397276329583
JCHAIN	PPBP	0.11514158467419892
IGKV3-20	IGHA1	0.11507971061277518
IGHG3	IGHV4-61	0.11455179766559996
IGHV4-61	IGHV4-39	0.11428051460722571
PPBP	TPSAB1	0.11426725471801524
IGHG2	IGHV5-10-1	0.11353409948712882
IGKV1D-33	IGHG2	0.11274741079769907
IGHA1	IGKV1-9	0.11174582309898048
IGKV1-9	IGHA1	0.10907394539245101
IGKV2D-28	TPSAB1	0.10855085488776473
IGKV3-20	IGHV3-48	0.10763935922880712
IGKV2D-28	IGHV5-10-1	0.10623546107248487
IGHV4-59	JCHAIN	0.10352443061732174
IGKV2D-28	PPBP	0.10186880219670305
JCHAIN	IGHV4-61	0.10096315902505586
IGHG2	IGKV2D-28	0.1003154914215467
IGHV4-61	IGHG3	0.0978878769522601
IGKV1D-33	IGHV3-48	0.0974300253247439
IGHA1	IGHV3-48	0.0948962107205759
IGHG2	IGHV4-61	0.08610060559001476
IGHG3	IGKV1D-33	0.08492222007298986
IGHV4-39	IGHV4-61	0.08109413819570471
IGHV5-10-1	IGKV2D-28	0.0804662166068971
IGHA1	IGHV4-61	0.08002222371072305
IGKV2D-29	IGHG3	0.07932619085852421
IGHV3-64D	IGKV1D-33	0.0791132377888227
IGHG3	IGKV3-20	0.0764651810904976
IGHG3	IGKV1-33	0.07596211769474971
IGHG2	IGKV3-20	0.07545158549253755
IGHV3-64D	IGHG2	0.07505751238460248
IGHV3-64D	IGKV1-33	0.07336312834232495
IGHGP	JCHAIN	0.07326283113813291
IGHV4-61	IGKV2D-28	0.0729998461007503
IGKV2D-28	JCHAIN	0.07227070049075236
IGKV3-20	IGHGP	0.07159675403321288
IGHG3	IGHA1	0.06892832992925321
IGHV3-48	JCHAIN	0.06815827035056665
IGHV4-39	IGHA1	0.0673657342040282
IGHGP	IGHA1	0.06441922115608072
IGKV1-9	IGHV3-64D	0.06293540470213618
IGKV1-9	JCHAIN	0.06262478445663135
IGLV2-11	JCHAIN	0.06027198740996962
IGHV4-59	IGKV2D-28	0.06022670725009856
IGKV1D-33	IGLV2-11	0.05992970183369658
IGLV2-11	IGHA1	0.05988375515085884
IGHG3	TPSAB1	0.059026463792661514
IGHG2	IGHV4-59	0.05884241056374672
IGKV1-33	IGHV4-59	0.05811216870015189
IGHG3	PPBP	0.05662250721548168
IGKV1-33	IGHG3	0.05627187449955702
IGHV4-61	IGHA1	0.05580001302751751
IGKV1-33	IGLV2-11	0.05578720517871231
IGKV1-9	IGHG2	0.05573027785924298
IGKV1D-33	IGHG3	0.0549372191250998
IGKV3-20	JCHAIN	0.05481382058077124
IGHV4-61	IGHG2	0.05430158020496823
IGHA1	IGHG3	0.05156093869806748
IGHA1	IGHGP	0.051441794947160634
IGHV3-48	IGKV1-33	0.05119877858379126
IGHG2	TPSAB1	0.051065631736901554
IGKV1D-33	IGHV4-59	0.051046555709109265
IGKV2D-28	IGHGP	0.05035295908104517
IGHGP	IGHV3-64D	0.048565006194167204
IGLV2-11	IGHV4-61	0.04843224644882654
IGHA1	IGKV2D-28	0.04826014167992996
IGHV4-39	IGHV4-59	0.04808824816643485
IGHG2	PPBP	0.047550344374369446
IGLV2-11	TPSAB1	0.04713421546987909
JCHAIN	IGHGP	0.04594278154862724
IGLV2-11	PPBP	0.044809522934195
IGHV4-59	IGHV4-39	0.04306949619068701
IGHV3-48	IGHA1	0.04304653795787227
IGHGP	IGHV4-59	0.04234660887407542
IGHA1	IGHG2	0.04228520861363256
TPSAB1	IGKV2D-29	0.041999845197673545
IGKV3-20	IGHV4-61	0.041682946853284795
IGKV2D-29	IGHV4-61	0.04079746056285587
IGHV5-10-1	TPSAB1	0.03779085238627543
IGKV3-20	IGKV2D-29	0.03754558946508884
JCHAIN	IGKV1D-33	0.036420871121689194
IGKV2D-29	IGHG2	0.03587614187468658
IGHG3	IGKV1-9	0.035444564169728444
IGHV5-10-1	PPBP	0.03474390013314732
IGHG2	JCHAIN	0.03444272164250743
IGHV3-48	TPSAB1	0.03396204706846956
IGHV5-10-1	IGHGP	0.03368670672317453
JCHAIN	IGKV2D-29	0.03351245476088016
IGHV4-59	IGKV1-33	0.03336480442316985
IGHV4-59	IGKV1D-33	0.03307059022333284
IGHA1	IGKV2D-29	0.032871511291934635
IGKV1-9	IGKV1-33	0.03216221921124275
IGHV3-48	PPBP	0.03167049904037669
IGHGP	IGHV4-39	0.031218235394961314
IGHG2	IGHV4-39	0.030242848228843208
IGHV4-59	IGHG3	0.02971714625127469
IGHV3-48	IGKV1D-33	0.028420971170136106
IGHV4-59	TPSAB1	0.028262739852609763
IGKV1-9	TPSAB1	0.028114202253049884
IGHV4-39	IGHGP	0.02810673085991644
IGHGP	IGKV1-9	0.02796076165159535
IGHV4-59	IGHGP	0.027314607811697762
IGKV2D-28	IGHG3	0.027306068416167496
IGKV1-9	PPBP	0.026975498354014603
PPBP	IGKV2D-29	0.02697461381803362
IGHV4-61	IGKV1D-33	0.026634426201773316
IGHV4-59	PPBP	0.025974148866125875
IGHV4-59	IGHA1	0.025815763893049827
IGHV4-61	IGKV1-33	0.025608483470602322
IGHV3-64D	IGHG3	0.025470824456086425
IGKV2D-28	IGKV2D-29	0.025441164047907833
IGHGP	IGKV1-33	0.02538184675798483
IGHG3	JCHAIN	0.025065320075070313
IGHGP	IGKV1D-33	0.024978201019836454
IGKV1D-33	IGHV4-61	0.02446263401045424
IGHG2	IGHV3-48	0.024430869478004928
IGKV1-33	IGHV4-61	0.024340112444143778
IGKV3-20	IGKV1-9	0.02414682688146978
IGKV1-9	IGKV1D-33	0.02398571628644061
TPSAB1	IGHV5-10-1	0.023481580918879745
IGHG3	IGHV4-39	0.023092847847800458
IGKV1D-33	IGKV1-9	0.02299013747854715
IGHG3	IGHV3-48	0.021738065944870946
JCHAIN	IGKV1-33	0.02150328537127614
IGHA1	IGHV5-10-1	0.02124431923242839
IGHV4-61	TPSAB1	0.021023845819482724
IGHV5-10-1	IGKV1-9	0.020781665654240774
JCHAIN	IGHG3	0.020766983215152503
IGHA1	IGHV4-59	0.020721828052006945
JCHAIN	IGHV5-10-1	0.020683466929858757
IGKV2D-28	IGHV4-61	0.020443325620726257
IGHV4-61	PPBP	0.019962910011219887
IGHV4-59	IGHG2	0.019850402153511106
IGKV1-33	IGKV1-9	0.019762654002554076
IGHV5-10-1	IGHG3	0.01972567115810874
IGHG2	IGLV2-11	0.01958293139885326
IGHV4-61	IGHV5-10-1	0.01899745366240213
IGHG3	IGLV2-11	0.01800613811642795
IGHGP	IGHV3-48	0.01750765718351963
IGKV3-20	IGHG3	0.016239075949213845
IGHV3-64D	IGKV1-9	0.015995008308100026
IGKV2D-28	IGHG2	0.014404331651185884
PPBP	IGHV5-10-1	0.01436150797843614
IGLV2-11	IGKV1D-33	0.014351862738579725
IGHV4-59	IGLV2-11	0.014044423708480549
IGKV3-20	IGHG2	0.013753554638357172
JCHAIN	IGHG2	0.013657656466253432
IGHV4-61	IGKV1-9	0.013250799323662087
IGKV1D-33	TPSAB1	0.013156658961733654
IGLV2-11	IGKV1-33	0.012906658281583284
IGKV1-33	TPSAB1	0.012776476367449116
IGKV1-33	PPBP	0.012388175715305334
IGKV1D-33	PPBP	0.012264591569726065
IGHV4-39	IGHV3-48	0.012124014521225367
IGKV1-9	IGHG3	0.012050003409195325
IGKV1-33	IGKV2D-29	0.01182217322023986
IGHV4-61	IGHV3-48	0.011732934541272931
IGHV5-10-1	IGHG2	0.011724699968564975
IGKV1-9	IGHGP	0.011585850786287388
IGHGP	TPSAB1	0.011478718540198347
IGKV2D-28	IGHV4-59	0.011450905455564297
IGHV4-39	IGHG3	0.011182733553753151
IGHV4-61	IGHV3-64D	0.011175200465912083
IGHGP	PPBP	0.011173422579375954
IGHV4-59	IGKV2D-29	0.011166311667026215
IGKV1-9	IGKV2D-29	0.011075718448056894
IGLV2-11	IGKV2D-29	0.010615212199754573
IGKV3-20	IGLV2-11	0.010538393116036483
IGHV4-39	IGKV1-9	0.010045349316406183
IGKV1D-33	IGKV2D-29	0.009711332051942995
IGKV1-33	IGKV3-20	0.009659094287842465
IGKV2D-29	IGKV2D-28	0.009590222459116539
IGKV2D-28	IGHA1	0.009317455686783506
IGHV4-39	IGKV3-20	0.009284832894196184
IGKV1D-33	IGKV3-20	0.009127974010721438
IGKV2D-28	IGLV2-11	0.008882096632773812
TPSAB1	IGLV2-11	0.008842022997020707
IGHV5-10-1	IGKV2D-29	0.008820114422740723
IGHV3-64D	IGHV3-48	0.008587295230743525
IGKV1-33	IGKV2D-28	0.00851463707105279
IGHV3-48	IGKV2D-29	0.00831055584403153
IGHV4-39	IGKV2D-28	0.008068130662707559
IGHGP	IGLV2-11	0.00795395216236124
IGHV3-48	IGLV2-11	0.007817365089496597
IGKV1D-33	JCHAIN	0.007511949932450599
IGHV4-39	IGKV2D-29	0.007407655223276403
IGLV2-11	IGKV3-20	0.007289946916473782
IGKV2D-29	IGHV3-64D	0.007263456784097872
IGKV1-33	IGHV5-10-1	0.007088162550926742
IGKV1-9	IGHV4-39	0.006960358689825763
IGHV4-39	TPSAB1	0.006924658007577616
IGKV1D-33	IGKV2D-28	0.006810046546708297
IGHV4-39	IGHG2	0.006748685387952002
IGHV4-59	IGHV5-10-1	0.006681716760675994
IGHV4-39	PPBP	0.006563645761243253
IGKV2D-29	IGKV1D-33	0.006434103925040987
IGKV2D-29	TPSAB1	0.006251793584895194
IGKV2D-29	IGHV5-10-1	0.0061507008389896185
TPSAB1	IGHV3-48	0.0061422360093300946
IGKV1-9	IGKV3-20	0.006093750618182148
IGHV4-59	IGKV1-9	0.006055786095382881
IGLV2-11	IGHV5-10-1	0.00585478873858503
IGKV1D-33	IGHGP	0.005766447186512932
PPBP	IGLV2-11	0.005667179249323566
IGKV2D-29	PPBP	0.005664305210103765
IGKV1-33	IGHGP	0.005384758183411038
IGKV2D-28	IGKV3-20	0.005126715469578039
IGKV1-33	JCHAIN	0.0050866579855302005
IGKV1-9	IGLV2-11	0.005025509120037483
IGKV1-9	IGHV4-61	0.0047457613348358225
IGLV2-11	IGHV3-48	0.004733593600626601
IGHV4-39	IGHV5-10-1	0.004669268147170563
IGHV3-48	IGHV5-10-1	0.0045406262683461455
IGHV3-64D	IGKV2D-29	0.004513186279808845
IGKV1D-33	IGHV5-10-1	0.00441909322055186
IGLV2-11	IGKV1-9	0.004314532291488586
IGHV3-64D	IGKV2D-28	0.004298275821123371
IGHV4-59	IGHV3-48	0.00429604330181333
IGKV2D-29	JCHAIN	0.004275250328606722
IGKV3-20	IGKV2D-28	0.004127681413746482
IGHV5-10-1	IGKV3-20	0.004115802671456489
IGLV2-11	IGHV4-59	0.0039988572698722216
IGKV1-9	IGKV2D-28	0.003925016879464546
PPBP	IGHV3-48	0.0037944059828087327
IGKV2D-28	IGHV3-48	0.0037867172908877004
IGKV2D-29	IGHV4-39	0.003766570008399297
IGHV3-64D	IGHV5-10-1	0.0037322664348558333
IGKV3-20	IGKV1D-33	0.003647528264782104
IGKV3-20	IGKV1-33	0.0035859283215937056
IGHV3-48	IGHV4-59	0.0035534339129453182
IGHV3-64D	IGHGP	0.0035224109433170257
IGKV2D-29	IGKV1-33	0.003327970332727851
IGHV3-48	IGHG2	0.0031460383066311
IGLV2-11	IGKV2D-28	0.0031353902651594418
IGHA1	IGKV1-33	0.003050768161844769
IGHV3-48	IGHV4-61	0.002944279337364382
IGHV3-48	IGKV3-20	0.0028637852172140434
IGHV5-10-1	IGHV4-61	0.002856047473982302
IGKV1D-33	IGHA1	0.002790244940404179
IGKV1-33	IGHA1	0.0026296940191330312
IGKV3-20	IGHV4-39	0.0024676187098631435
IGKV2D-28	IGKV1-9	0.002436536904960201
IGKV2D-28	IGHV4-39	0.0023244689958855868
IGKV1-9	IGHV4-59	0.0022000054446053114
IGKV2D-29	IGKV3-20	0.0021878623037529387
IGHA1	IGKV1D-33	0.0021707247387113687
IGHV5-10-1	IGHV4-59	0.002019906186878813
IGHV3-48	IGHV4-39	0.0020183939389809024
IGKV2D-28	IGKV1-33	0.0019279439688597618
TPSAB1	IGHV4-39	0.0019004831432569609
IGHV4-39	IGKV1D-33	0.0018823948718852328
TPSAB1	IGKV2D-28	0.0018387854410120302
IGKV2D-29	IGKV1-9	0.0018190699384159333
IGHV5-10-1	IGLV2-11	0.0017822377638054179
IGHV3-48	IGHG3	0.0017419845434797129
IGHV5-10-1	IGHV4-39	0.001699786543948944
IGHV5-10-1	JCHAIN	0.0016622055218495368
IGHV4-39	IGKV1-33	0.0016270094743289479
IGKV2D-29	IGHV4-59	0.0015532641089819137
IGHV3-48	IGKV2D-28	0.0015164116066551292
IGHV3-64D	IGHV4-59	0.0011923546552291013
PPBP	IGHV4-39	0.0011611753935005936
IGHV5-10-1	IGHA1	0.0011357583521179552
IGHV5-10-1	IGHV3-48	0.001126444648984563
PPBP	IGKV2D-28	0.0011087831814930078
TPSAB1	IGKV1-9	0.0010994524177766832
IGKV2D-29	IGHA1	0.001028324041759885
IGHV3-64D	IGHV4-61	0.0010061513144868316
IGHV5-10-1	IGHV3-64D	0.0009360954815032536
IGKV2D-29	IGLV2-11	0.0008548395396712117
IGKV2D-28	IGKV1D-33	0.0007815012609891033
IGKV1D-33	IGHV4-39	0.0007768566255564636
PPBP	IGKV1-9	0.0007427555198903733
JCHAIN	IGHV3-64D	0.0007147636145017303
IGLV2-11	IGHGP	0.0007008569705045424
IGLV2-11	IGHG3	0.0006948504397875312
IGHV5-10-1	IGKV1D-33	0.0006696708232428996
IGHV3-64D	IGLV2-11	0.0006347272203436968
IGHV5-10-1	IGKV1-33	0.0006079783201109662
IGHV3-64D	IGKV3-20	0.0005862747930317144
IGKV3-20	IGHV3-64D	0.0005251842045787624
IGHV3-64D	JCHAIN	0.0004826035857710582
IGHV3-48	IGHGP	0.0004592343538224374
IGLV2-11	IGHG2	0.0004073752194295304
IGHV3-64D	IGHA1	0.00033319942394407977
TPSAB1	IGKV1D-33	0.0002930401056262192
IGKV1-33	IGHV4-39	0.00021554187101485698
IGKV2D-29	IGHV3-48	0.0001853342752715879
PPBP	IGKV1D-33	0.00018337715003316986
IGHA1	IGHV3-64D	0.0001734917425570729
TPSAB1	IGKV1-33	0.00016555521998604518
IGHV3-48	IGHV3-64D	0.00011134777536004867
PPBP	IGKV1-33	9.40796002682833e-05
IGHV3-64D	IGHV4-39	3.44505683806266e-05
IGHV3-64D	TPSAB1	2.8768054900049126e-05
IGHV3-64D	PPBP	1.1785902387514906e-05
TPSAB1	IGKV3-20	6.166216878976123e-06
PPBP	IGKV3-20	3.6496124631882363e-06
TPSAB1	JCHAIN	2.6676470858611578e-06
TPSAB1	IGHA1	2.4120762136598558e-06
PPBP	JCHAIN	1.6881160056577655e-06
TPSAB1	IGHG3	1.3612104648903238e-06
PPBP	IGHA1	1.2867565190272629e-06
PPBP	IGHG3	8.116758964042109e-07
TPSAB1	IGHG2	7.280169357667425e-07
TPSAB1	IGHV4-59	6.478580436129533e-07
PPBP	IGHG2	3.88960452538469e-07
PPBP	IGHV4-59	3.093121954784435e-07
TPSAB1	IGHV4-61	2.3765323756221045e-07
TPSAB1	IGHGP	1.8352031167568738e-07
PPBP	IGHV4-61	1.107959857722768e-07
PPBP	IGHGP	9.152943963615266e-08
TPSAB1	IGHV3-64D	3.106055325151625e-08
PPBP	IGHV3-64D	1.2067386970346226e-08
IGKV2D-28	IGHV3-64D	8.448220451368412e-09
IGLV2-11	IGHV3-64D	5.871583604828909e-10
