Gene1	Gene2	Score
SOX9	FOXL2	-0.114135736134017
DHH	SOX9	0.113037895039401
AMH	FGF9	0.111737767675221
PGD2	FGF9	0.111171426089032
FGF9	DKK1	0.110823258402391
FGF9	DHH	0.110591259807083
DHH	GATA4	0.110559359127806
AMH	DMRT1	0.110442830115307
PGD2	NR0B1	0.109085423014029
DMRT1	FGF9	0.108752048340932
WT1pKTS	DHH	-0.107949242506915
FGF9	SRY	0.107723261479004
CTNNB1	AMH	0.107334564604799
NR0B1	DHH	0.106223347594573
SOX9	CBX2	-0.106041851740135
NR5A1	DHH	-0.105610801094644
GATA4	DHH	0.105554700602521
PGD2	SRY	-0.105303288336489
FGF9	AMH	-0.10491063856518
CTNNB1	DHH	0.104706597410666
PGD2	GATA4	0.104526384276551
CBX2	DHH	-0.104467192974202
SOX9	UGR	-0.103001735457231
AMH	PGD2	0.102689277582519
FOXL2	AMH	0.102201564801259
FGF9	PGD2	0.101946366143991
RSPO1	AMH	0.101040972057447
GATA4	AMH	0.100713862578022
FOXL2	SOX9	-0.100087120304876
DHH	NR0B1	0.100056311017551
SRY	PGD2	0.0999824124903827
WNT4	DHH	0.0998104508868656
CBX2	FGF9	-0.0995647611927662
RSPO1	DHH	0.0986707123995891
FGF9	DMRT1	0.0979853426183897
WT1mKTS	FGF9	-0.0976079870412888
FGF9	NR0B1	-0.0974439617882608
AMH	DHH	0.0972699881226927
FGF9	GATA4	-0.0972334765923221
SRY	FGF9	-0.0967005850083824
GATA4	FGF9	-0.0951037471380405
DHH	WNT4	0.0950838123846237
DHH	CTNNB1	0.0947628541095972
WT1mKTS	PGD2	0.0945946386727637
UGR	FGF9	-0.0945822115931967
FGF9	WT1mKTS	0.0936844992023521
DHH	DKK1	0.0933886179497644
DHH	FGF9	-0.0929937826245594
NR5A1	FGF9	-0.0928578676708478
WT1pKTS	AMH	-0.0924600801938847
PGD2	RSPO1	0.0920659563026021
WNT4	AMH	0.091416479327797
PGD2	CBX2	-0.0902972531143847
NR5A1	AMH	-0.0894725853065322
PGD2	UGR	-0.0893569487041422
UGR	DHH	-0.0892783767530952
WT1mKTS	AMH	0.089031528144836
DHH	DMRT1	0.0887352580655133
AMH	WNT4	0.0881866168102826
PGD2	WT1pKTS	-0.0879854089743959
NR0B1	AMH	0.0877048665753235
DHH	RSPO1	0.0873674345935379
PGD2	NR5A1	-0.0862389448470887
FGF9	UGR	-0.0859664472737157
DHH	CBX2	-0.0848945389891468
SRY	AMH	-0.0844943833243001
WNT4	FGF9	0.0811159328920015
PGD2	FOXL2	0.0802818459851392
DHH	UGR	-0.0794218128068046
AMH	SRY	0.0791941163205973
NR0B1	FGF9	0.0781020625469505
FGF9	WNT4	0.0774090368052307
CTNNB1	FGF9	0.0762539174227751
NR5A1	PGD2	0.0757374675899625
NR0B1	PGD2	0.0751821225216155
AMH	NR0B1	-0.0745070321394024
CBX2	PGD2	0.0728456248660062
DHH	SRY	-0.0722850637528949
WT1pKTS	PGD2	0.0722191155244731
WT1pKTS	FGF9	-0.0721816684709384
UGR	AMH	-0.071654723884746
AMH	UGR	0.0715968395174611
RSPO1	FGF9	0.0695498019552031
WNT4	PGD2	0.069099861575171
FOXL2	FGF9	0.0673540319773287
AMH	NR5A1	0.0658954317539985
RSPO1	PGD2	-0.0653581824216545
AMH	CBX2	0.0650450887898713
CTNNB1	PGD2	-0.0631511238168237
CBX2	AMH	-0.0621492190672532
UGR	PGD2	0.0620562079236466
DHH	FOXL2	0.0609315953022656
FGF9	CBX2	-0.0596557317617991
FGF9	NR5A1	0.0593298354820137
FGF9	RSPO1	0.0589236133969606
DHH	NR5A1	-0.0559165357085391
FGF9	WT1pKTS	0.055323279084035
AMH	RSPO1	-0.0518716343992039
FOXL2	PGD2	-0.0518288606153015
FGF9	CTNNB1	-0.0513346742581218
AMH	CTNNB1	-0.0506174791070206
DHH	WT1pKTS	-0.047939846130676
FGF9	FOXL2	-0.0464633764318855
AMH	WT1pKTS	-0.0444395600148623
AMH	FOXL2	-0.0315041838992093
