Gene1	Gene2	corVal	pValue
IGHGP	IGKV3-20	0.18947336999495	3.02351056406662e-71
IGHV4-39	JCHAIN	0.173239326497504	1.09526713667703e-59
JCHAIN	IGHV4-39	0.173239326497504	1.09526713667722e-59
IGHA1	JCHAIN	0.172409146262768	3.99224495125028e-59
JCHAIN	IGHA1	0.172409146262768	3.99224495125074e-59
IGHV4-59	IGKV3-20	0.170412043882548	8.72590025004813e-58
IGKV3-20	IGHV4-59	0.170412043882548	8.72590025004938e-58
IGHV4-39	IGHGP	0.162413332865806	1.38646917330489e-52
IGHGP	IGHV4-39	0.162413332865806	1.38646917330489e-52
IGHGP	IGKV2D-29	0.159376699003914	1.11676068445003e-50
IGKV2D-29	IGHGP	0.159376699003914	1.11676068445021e-50
IGHV5-10-1	IGHGP	0.158289192972886	5.26552931557115e-50
IGHGP	IGHV5-10-1	0.158289192972886	5.2655293155719e-50
IGLV2-11	IGHV4-61	0.142256542575141	1.2454485168486e-40
IGHV4-61	IGLV2-11	0.142256542575141	1.24544851684869e-40
IGHG2	IGKV1-9	0.137496613272029	4.78224574820555e-38
IGKV1-9	IGHG2	0.137496613272029	4.78224574820555e-38
IGHV4-61	IGHA1	0.13410583238679	2.92091209882048e-36
IGHA1	IGHV4-61	0.13410583238679	2.92091209882048e-36
IGHV4-39	IGHV4-59	0.119425667740157	4.70323449111769e-29
IGHV4-59	IGHV4-39	0.119425667740157	4.70323449111769e-29
IGHV3-48	IGKV1-9	0.118689769036379	1.02645491132578e-28
IGKV1-9	IGHV3-48	0.118689769036379	1.02645491132582e-28
IGKV2D-28	JCHAIN	0.116539779856942	9.75977044085441e-28
JCHAIN	IGKV2D-28	0.116539779856942	9.75977044085491e-28
IGHA1	IGKV3-20	0.107387113378744	8.94056008427918e-24
IGKV3-20	IGHA1	0.107387113378744	8.94056008427918e-24
IGKV1-33	IGHV3-64D	0.101054644725311	3.17710512629335e-21
IGHV3-64D	IGKV1-33	0.101054644725311	3.1771051262934e-21
IGHV3-64D	IGKV1D-33	0.101038532068037	3.22347099917021e-21
IGKV1D-33	IGHV3-64D	0.101038532068037	3.2234709991703e-21
IGHV4-39	IGLV2-11	0.0996278298560065	1.13588480928336e-20
IGLV2-11	IGHV4-39	0.0996278298560065	1.13588480928336e-20
IGHGP	JCHAIN	0.0921102093898261	6.93586489356975e-18
JCHAIN	IGHGP	0.0921102093898261	6.93586489356975e-18
IGHA1	IGKV1-9	0.0915339075925816	1.11096037875809e-17
IGKV1-9	IGHA1	0.0915339075925816	1.11096037875809e-17
IGKV1-9	IGHV5-10-1	0.0898627361974561	4.28351892174823e-17
IGHV5-10-1	IGKV1-9	0.0898627361974561	4.28351892174836e-17
IGHV3-64D	IGHG3	0.0846133598846797	2.53148566608791e-15
IGHG3	IGHV3-64D	0.0846133598846797	2.53148566608791e-15
IGKV3-20	IGKV1-9	0.081043567564196	3.53268870949494e-14
IGKV1-9	IGKV3-20	0.081043567564196	3.53268870949497e-14
JCHAIN	IGLV2-11	0.080931012755979	3.83186630749057e-14
IGLV2-11	JCHAIN	0.0809310127559789	3.83186630749065e-14
IGHG3	IGHV4-61	0.073562859423668	6.16727744827197e-12
IGHV4-61	IGHG3	0.073562859423668	6.16727744827206e-12
IGKV3-20	JCHAIN	0.0696426360924387	7.59552489192483e-11
JCHAIN	IGKV3-20	0.0696426360924387	7.59552489192489e-11
IGHG3	IGHV5-10-1	0.0673983380271274	3.01170390318877e-10
IGHV5-10-1	IGHG3	0.0673983380271274	3.01170390318882e-10
IGKV2D-28	IGHV5-10-1	0.0670077300967625	3.81068477574922e-10
IGHV5-10-1	IGKV2D-28	0.0670077300967625	3.81068477574928e-10
IGHA1	IGHG2	0.0648406231097181	1.37268779432463e-09
IGHG2	IGHA1	0.064840623109718	1.37268779432464e-09
IGHG2	IGKV2D-29	0.0614030831759057	9.64679909603004e-09
IGKV2D-29	IGHG2	0.0614030831759056	9.64679909603028e-09
IGHG2	IGHV4-39	0.0609627381694053	1.22933896908837e-08
IGHV4-39	IGHG2	0.0609627381694052	1.2293389690884e-08
IGHV4-59	IGHG3	0.058668150219664	4.23283607068175e-08
IGHG3	IGHV4-59	0.058668150219664	4.23283607068175e-08
IGHV4-59	JCHAIN	0.0557745575800683	1.88742979434591e-07
JCHAIN	IGHV4-59	0.0557745575800683	1.88742979434595e-07
IGHV4-61	IGHGP	0.0549941316596696	2.79036701018602e-07
IGHGP	IGHV4-61	0.0549941316596696	2.79036701018611e-07
IGHG2	IGHV5-10-1	0.0546652369769831	3.28504241441509e-07
IGHV5-10-1	IGHG2	0.054665236976983	3.28504241441513e-07
IGHG2	IGKV1D-33	0.0520568545390882	1.16015616454385e-06
IGKV1D-33	IGHG2	0.0520568545390882	1.16015616454385e-06
IGHG2	IGKV1-33	0.052054040441292	1.16170026473359e-06
IGKV1-33	IGHG2	0.052054040441292	1.16170026473361e-06
IGHA1	IGHV4-39	0.0492771418127643	4.17725431622921e-06
IGHV4-39	IGHA1	0.0492771418127643	4.17725431622927e-06
IGKV2D-29	IGHG3	0.0482223493546855	6.67705784713297e-06
IGHG3	IGKV2D-29	0.0482223493546855	6.6770578471331e-06
IGKV3-20	IGHV3-48	0.0473287187711834	9.86204681044078e-06
IGHV3-48	IGKV3-20	0.0473287187711834	9.86204681044082e-06
IGHV4-59	IGKV1-33	0.0465120614122687	1.40024586818034e-05
IGKV1-33	IGHV4-59	0.0465120614122686	1.40024586818037e-05
IGHV4-59	IGKV1D-33	0.0464098541080259	1.4624656275712e-05
IGKV1D-33	IGHV4-59	0.0464098541080259	1.46246562757122e-05
IGHV4-61	IGKV1D-33	0.045050857932047	2.58533787988015e-05
IGKV1D-33	IGHV4-61	0.0450508579320469	2.58533787988024e-05
IGKV1-33	IGHV4-61	0.0450423044406416	2.5944978232486e-05
IGHV4-61	IGKV1-33	0.0450423044406416	2.59449782324863e-05
IGKV1-33	IGHV3-48	0.0446346664247745	3.06864243140837e-05
IGHV3-48	IGKV1-33	0.0446346664247745	3.06864243140839e-05
IGHV3-48	IGKV1D-33	0.0444044338912277	3.37169754622945e-05
IGKV1D-33	IGHV3-48	0.0444044338912277	3.37169754622946e-05
IGHA1	IGHV3-48	0.0439315712477204	4.08555338212032e-05
IGHV3-48	IGHA1	0.0439315712477204	4.08555338212036e-05
IGKV2D-28	IGHV4-61	0.0431330126314811	5.62669189127968e-05
IGHV4-61	IGKV2D-28	0.0431330126314811	5.62669189127969e-05
IGHV3-48	JCHAIN	0.0403022229517477	0.000167639165841169
JCHAIN	IGHV3-48	0.0403022229517477	0.000167639165841169
IGHV4-61	IGHG2	0.0394023240466984	0.000233900581294697
IGHG2	IGHV4-61	0.0394023240466984	0.000233900581294699
IGHV4-59	IGKV2D-28	0.0378535290727653	0.000408478830718993
IGKV2D-28	IGHV4-59	0.0378535290727652	0.000408478830718995
IGHV4-39	IGHG3	0.0372056559731511	0.000512746814553361
IGHG3	IGHV4-39	0.037205655973151	0.000512746814553367
IGHV4-59	IGHG2	0.0353128447111421	0.000976690581714857
IGHG2	IGHV4-59	0.0353128447111421	0.00097669058171486
IGLV2-11	IGKV1D-33	0.0331506040293447	0.00196710951554976
IGKV1D-33	IGLV2-11	0.0331506040293447	0.00196710951554977
IGLV2-11	IGKV1-33	0.0330741448060625	0.00201500989974036
IGKV1-33	IGLV2-11	0.0330741448060625	0.00201500989974036
IGKV1-9	JCHAIN	0.0318808822168655	0.00291518414108901
JCHAIN	IGKV1-9	0.0318808822168655	0.00291518414108903
IGKV2D-28	IGHGP	0.0282550714836204	0.00834268738397106
IGHGP	IGKV2D-28	0.0282550714836204	0.00834268738397107
IGHV5-10-1	IGLV2-11	0.0208136898662853	0.0520190133411511
IGLV2-11	IGHV5-10-1	0.0208136898662853	0.0520190133411511
IGKV3-20	IGHV4-61	0.0200295628300669	0.0615168140124226
IGHV4-61	IGKV3-20	0.0200295628300669	0.0615168140124227
IGHV4-39	IGHV3-48	0.017297917510345	0.106370953979161
IGHV3-48	IGHV4-39	0.0172979175103449	0.106370953979161
IGKV1D-33	JCHAIN	0.0169232624955593	0.1141656120315
JCHAIN	IGKV1D-33	0.0169232624955593	0.1141656120315
IGKV1-33	JCHAIN	0.0167921463173944	0.116997296981596
JCHAIN	IGKV1-33	0.0167921463173944	0.116997296981596
IGHV3-48	IGKV2D-29	0.0157885758310024	0.140532825924009
IGKV2D-29	IGHV3-48	0.0157885758310024	0.140532825924009
IGHGP	IGKV1-9	0.0151365663158153	0.157673440930705
IGKV1-9	IGHGP	0.0151365663158153	0.157673440930705
IGHG2	IGKV2D-28	0.0146719711929242	0.170822152945433
IGKV2D-28	IGHG2	0.0146719711929242	0.170822152945433
IGHV5-10-1	IGKV3-20	0.0138847734050806	0.19494862682113
IGKV3-20	IGHV5-10-1	0.0138847734050806	0.19494862682113
IGHA1	IGLV2-11	0.00869347906459825	0.417095014269528
IGLV2-11	IGHA1	0.00869347906459824	0.417095014269529
IGHA1	IGKV2D-28	0.00845984522988587	0.429724822686908
IGKV2D-28	IGHA1	0.00845984522988587	0.429724822686908
IGLV2-11	IGKV1-9	0.0076953358969906	0.472572798659571
IGKV1-9	IGLV2-11	0.0076953358969906	0.472572798659571
IGKV2D-28	IGHG3	0.00699023069027154	0.514090596376562
IGHG3	IGKV2D-28	0.00699023069027153	0.514090596376561
IGLV2-11	IGKV3-20	0.00627328999793088	0.558171569584963
IGKV3-20	IGLV2-11	0.00627328999793088	0.558171569584963
IGHG3	IGHV3-48	0.00345383929797233	0.747161051424232
IGHV3-48	IGHG3	0.00345383929797233	0.747161051424232
IGKV2D-28	IGHV3-64D	0.00231959289831553	0.828587981180632
IGHV3-64D	IGKV2D-28	0.00231959289831552	0.828587981180632
IGHGP	TPSAB1	0.000734831033391614	0.945316212694152
TPSAB1	IGHGP	0.000734831033391614	0.945316212694152
PPBP	IGHGP	0.000585170181933452	0.956441011935102
IGHGP	PPBP	0.000585170181933452	0.956441011935102
IGHV3-48	IGKV2D-28	0.000174563413331954	0.98699993662434
IGKV2D-28	IGHV3-48	0.000174563413331954	0.98699993662434
IGHV3-64D	TPSAB1	0.000111868446080536	0.99166873071116
TPSAB1	IGHV3-64D	0.000111868446080536	0.99166873071116
IGHV3-64D	PPBP	8.90845323222399e-05	0.993365491452823
PPBP	IGHV3-64D	8.90845323222397e-05	0.993365491452823
TPSAB1	IGHV4-61	3.49184333816979e-05	0.997399448615737
IGHV4-61	TPSAB1	3.49184333816978e-05	0.997399448615737
IGHV4-61	PPBP	2.78066998892115e-05	0.997929093841902
PPBP	IGHV4-61	2.78066998892113e-05	0.997929093841902
PPBP	IGHV4-39	-4.32505442561934e-05	0.996778917451707
IGHV4-39	PPBP	-4.32505442561935e-05	0.996778917451707
IGHV4-39	TPSAB1	-5.43121353612348e-05	0.995955112235527
TPSAB1	IGHV4-39	-5.4312135361235e-05	0.995955112235527
IGKV1D-33	PPBP	-0.000178579811077876	0.986700855368865
PPBP	IGKV1D-33	-0.000178579811077877	0.986700855368865
PPBP	IGKV1-33	-0.000178609766624129	0.98669862473461
IGKV1-33	PPBP	-0.000178609766624129	0.98669862473461
TPSAB1	IGKV1D-33	-0.000224252689505902	0.983299963894444
IGKV1D-33	TPSAB1	-0.000224252689505902	0.983299963894444
IGKV1-33	TPSAB1	-0.000224290306366242	0.983297162986338
TPSAB1	IGKV1-33	-0.000224290306366242	0.983297162986338
IGKV1D-33	IGHG3	-0.000275380649934948	0.979493239245632
IGHG3	IGKV1D-33	-0.000275380649934957	0.979493239245631
IGKV1-33	IGHG3	-0.000285112332269306	0.978768718531918
IGHG3	IGKV1-33	-0.000285112332269307	0.978768718531918
IGHV4-59	PPBP	-0.000473372522783763	0.964756970567834
PPBP	IGHV4-59	-0.000473372522783763	0.964756970567834
IGKV1-9	PPBP	-0.000476074245316625	0.964555956749782
PPBP	IGKV1-9	-0.000476074245316625	0.964555956749782
PPBP	IGHG2	-0.000507926225853966	0.962186275904266
IGHG2	PPBP	-0.000507926225853966	0.962186275904266
IGKV2D-29	PPBP	-0.000567927610687217	0.957723297241247
PPBP	IGKV2D-29	-0.000567927610687218	0.957723297241247
TPSAB1	IGHV4-59	-0.000594440439441164	0.955751653298578
IGHV4-59	TPSAB1	-0.000594440439441164	0.955751653298578
IGKV1-9	TPSAB1	-0.000597833144028744	0.955499371872518
TPSAB1	IGKV1-9	-0.000597833144028744	0.955499371872518
TPSAB1	IGHG2	-0.00063783146331509	0.952525440756452
IGHG2	TPSAB1	-0.000637831463315091	0.952525440756452
IGKV2D-29	TPSAB1	-0.000713178569136967	0.946925105780044
TPSAB1	IGKV2D-29	-0.000713178569136967	0.946925105780044
IGHG3	PPBP	-0.000832960052956504	0.938027596994464
PPBP	IGHG3	-0.000832960052956504	0.938027596994464
IGHV5-10-1	IGKV1-33	-0.000855853687741932	0.936327876963193
IGKV1-33	IGHV5-10-1	-0.000855853687741935	0.936327876963192
IGHV5-10-1	IGKV1D-33	-0.000858600506749474	0.936123960870023
IGKV1D-33	IGHV5-10-1	-0.000858600506749476	0.936123960870023
IGHV3-48	PPBP	-0.000920778242844226	0.931509207557452
PPBP	IGHV3-48	-0.000920778242844227	0.931509207557452
IGHV5-10-1	PPBP	-0.000923571814131841	0.931301925070694
PPBP	IGHV5-10-1	-0.000923571814131842	0.931301925070694
TPSAB1	IGHG3	-0.00104599467878828	0.922222941898925
IGHG3	TPSAB1	-0.00104599467878828	0.922222941898925
TPSAB1	IGHV3-48	-0.00115627290761491	0.914053247305439
IGHV3-48	TPSAB1	-0.00115627290761491	0.914053247305439
TPSAB1	IGHV5-10-1	-0.00115978095183778	0.913793506688018
IGHV5-10-1	TPSAB1	-0.00115978095183778	0.913793506688018
IGLV2-11	PPBP	-0.00121221810275215	0.909912097386711
PPBP	IGLV2-11	-0.00121221810275215	0.909912097386711
PPBP	JCHAIN	-0.00129656204914496	0.903673486593918
JCHAIN	PPBP	-0.00129656204914496	0.903673486593918
TPSAB1	IGLV2-11	-0.00152225029340727	0.887010415816592
IGLV2-11	TPSAB1	-0.00152225029340727	0.887010415816592
TPSAB1	JCHAIN	-0.00162816571972543	0.879207167528881
JCHAIN	TPSAB1	-0.00162816571972543	0.879207167528881
IGHA1	PPBP	-0.00163138825198358	0.878969929456648
PPBP	IGHA1	-0.00163138825198358	0.878969929456648
IGHV4-59	IGHGP	-0.00169355558782226	0.874395413283625
IGHGP	IGHV4-59	-0.00169355558782226	0.874395413283625
PPBP	IGKV2D-28	-0.00191464329446208	0.858161922361607
IGKV2D-28	PPBP	-0.00191464329446208	0.858161922361607
TPSAB1	IGHA1	-0.00204862577089473	0.84835283161398
IGHA1	TPSAB1	-0.00204862577089474	0.84835283161398
IGKV3-20	PPBP	-0.00206691213283981	0.847015838981235
PPBP	IGKV3-20	-0.00206691213283981	0.847015838981235
TPSAB1	IGKV2D-28	-0.00240432502216235	0.822429045620777
IGKV2D-28	TPSAB1	-0.00240432502216235	0.822429045620777
TPSAB1	IGKV3-20	-0.00259553754684833	0.808571042769275
IGKV3-20	TPSAB1	-0.00259553754684833	0.808571042769275
TPSAB1	PPBP	-0.00277881535222568	0.795344161526911
PPBP	TPSAB1	-0.00277881535222568	0.795344161526911
IGHV3-48	IGHGP	-0.00503280037507066	0.638520453981686
IGHGP	IGHV3-48	-0.00503280037507068	0.638520453981685
IGHV5-10-1	IGHV3-48	-0.00841658177220471	0.432087701776069
IGHV3-48	IGHV5-10-1	-0.00841658177220471	0.432087701776068
IGKV1-33	IGKV2D-28	-0.00913667249407988	0.393746997004347
IGKV2D-28	IGKV1-33	-0.00913667249407988	0.393746997004347
IGKV1D-33	IGKV2D-28	-0.00914648407448431	0.393239225567297
IGKV2D-28	IGKV1D-33	-0.00914648407448431	0.393239225567297
IGHG3	JCHAIN	-0.00928784740958713	0.385967455586556
JCHAIN	IGHG3	-0.00928784740958714	0.385967455586556
IGHA1	IGHG3	-0.00941969644073045	0.379259636913754
IGHG3	IGHA1	-0.00941969644073045	0.379259636913753
IGKV1D-33	IGKV1-9	-0.00979276943336567	0.360671348203434
IGKV1-9	IGKV1D-33	-0.0097927694333657	0.360671348203433
IGKV1-33	IGKV1-9	-0.00981179603773433	0.35973892512148
IGKV1-9	IGKV1-33	-0.00981179603773434	0.35973892512148
IGHG3	IGKV1-9	-0.00995500738305256	0.352769326428072
IGKV1-9	IGHG3	-0.00995500738305257	0.352769326428072
IGLV2-11	IGKV2D-28	-0.0102090902508471	0.340615803530649
IGKV2D-28	IGLV2-11	-0.0102090902508471	0.340615803530649
IGKV2D-29	IGLV2-11	-0.0108710328643494	0.310229495821811
IGLV2-11	IGKV2D-29	-0.0108710328643494	0.310229495821811
IGKV2D-29	JCHAIN	-0.0109410794744753	0.307122089552337
JCHAIN	IGKV2D-29	-0.0109410794744753	0.307122089552336
IGKV1D-33	IGKV3-20	-0.0137471717715435	0.199410710129179
IGKV3-20	IGKV1D-33	-0.0137471717715435	0.199410710129179
IGKV1-33	IGKV3-20	-0.0137651266704594	0.198824280695442
IGKV3-20	IGKV1-33	-0.0137651266704594	0.198824280695442
IGKV2D-29	IGKV1-33	-0.0138014559453251	0.197641578361833
IGKV1-33	IGKV2D-29	-0.0138014559453251	0.197641578361833
IGKV1D-33	IGKV2D-29	-0.0138034026163334	0.197578349941165
IGKV2D-29	IGKV1D-33	-0.0138034026163334	0.197578349941165
IGHA1	IGHV3-64D	-0.0144134758913716	0.178484839979419
IGHV3-64D	IGHA1	-0.0144134758913716	0.178484839979419
IGLV2-11	IGHV3-64D	-0.0160689285327714	0.133618791670684
IGHV3-64D	IGLV2-11	-0.0160689285327714	0.133618791670684
IGHV4-59	IGHA1	-0.0174443171425479	0.103442227159793
IGHA1	IGHV4-59	-0.0174443171425479	0.103442227159793
IGHA1	IGKV1-33	-0.0180846852670986	0.0913773414728433
IGKV1-33	IGHA1	-0.0180846852670986	0.0913773414728432
IGKV1D-33	IGHA1	-0.0180990763383331	0.0911197912054039
IGHA1	IGKV1D-33	-0.0180990763383331	0.0911197912054037
IGHG2	IGHV3-64D	-0.0181877804066373	0.089545154523447
IGHV3-64D	IGHG2	-0.0181877804066374	0.0895451545234466
IGHGP	IGHA1	-0.0183587398664309	0.0865721877572336
IGHA1	IGHGP	-0.018358739866431	0.0865721877572333
IGHG3	IGLV2-11	-0.0199657462653286	0.0623492383837952
IGLV2-11	IGHG3	-0.0199657462653286	0.0623492383837951
JCHAIN	IGHV4-61	-0.0202941063160725	0.0581636251865315
IGHV4-61	JCHAIN	-0.0202941063160725	0.0581636251865309
IGKV3-20	IGHG3	-0.0203200190052058	0.0578434969929823
IGHG3	IGKV3-20	-0.0203200190052058	0.057843496992982
IGHV4-39	IGHV3-64D	-0.0206201116967763	0.0542416426398537
IGHV3-64D	IGHV4-39	-0.0206201116967763	0.0542416426398536
IGKV2D-28	IGKV1-9	-0.0209855387944977	0.0501101940140622
IGKV1-9	IGKV2D-28	-0.0209855387944977	0.050110194014062
IGKV2D-29	IGKV2D-28	-0.0224661878447851	0.0359691471399097
IGKV2D-28	IGKV2D-29	-0.0224661878447851	0.0359691471399096
IGKV2D-29	IGKV1-9	-0.0231168188696716	0.0309254908671521
IGKV1-9	IGKV2D-29	-0.0231168188696716	0.030925490867152
IGHV3-48	IGLV2-11	-0.0252648771076796	0.0183430463248933
IGLV2-11	IGHV3-48	-0.0252648771076796	0.0183430463248932
IGHV5-10-1	IGHA1	-0.0264999089236438	0.0133625994692639
IGHA1	IGHV5-10-1	-0.0264999089236439	0.0133625994692639
IGHGP	IGKV1-33	-0.0271054757231508	0.0113896522441119
IGKV1-33	IGHGP	-0.0271054757231508	0.0113896522441119
IGHGP	IGKV1D-33	-0.0271149561917432	0.0113609381585145
IGKV1D-33	IGHGP	-0.0271149561917432	0.0113609381585145
IGHV4-61	IGHV3-48	-0.0274357567356006	0.010426419509154
IGHV3-48	IGHV4-61	-0.0274357567356006	0.010426419509154
IGKV1-9	IGHV4-59	-0.0286222127404742	0.00753631556968646
IGHV4-59	IGKV1-9	-0.0286222127404742	0.00753631556968644
IGHV5-10-1	IGHV4-59	-0.0292084320085741	0.00639286535296364
IGHV4-59	IGHV5-10-1	-0.0292084320085741	0.00639286535296363
IGHG2	IGKV3-20	-0.0319594884361352	0.00284613209084126
IGKV3-20	IGHG2	-0.0319594884361352	0.00284613209084124
IGHV5-10-1	JCHAIN	-0.0332473796394544	0.00190798014454314
JCHAIN	IGHV5-10-1	-0.0332473796394544	0.00190798014454313
IGKV1-9	IGHV4-61	-0.0336710403079496	0.00166785157944514
IGHV4-61	IGKV1-9	-0.0336710403079496	0.00166785157944514
IGHV3-48	IGHV4-59	-0.0339866825387725	0.00150737515249054
IGHV4-59	IGHV3-48	-0.0339866825387725	0.00150737515249053
IGHGP	IGLV2-11	-0.0348429466627687	0.00114090924954386
IGLV2-11	IGHGP	-0.0348429466627688	0.00114090924954385
JCHAIN	IGHG2	-0.0370002930516925	0.000550662586263888
IGHG2	JCHAIN	-0.0370002930516925	0.000550662586263887
IGKV1-9	IGHV4-39	-0.0370858956472093	0.000534551155077837
IGHV4-39	IGKV1-9	-0.0370858956472093	0.000534551155077835
IGKV2D-29	IGHA1	-0.0376959748644223	0.000431835866801943
IGHA1	IGKV2D-29	-0.0376959748644223	0.000431835866801941
IGKV1-33	IGHV4-39	-0.0385340802649762	0.000320504604081098
IGHV4-39	IGKV1-33	-0.0385340802649762	0.000320504604081096
IGHV5-10-1	IGHV4-61	-0.0385473825501853	0.000318976565029432
IGHV4-61	IGHV5-10-1	-0.0385473825501853	0.000318976565029431
IGKV1D-33	IGHV4-39	-0.0385505637914587	0.000318612146135797
IGHV4-39	IGKV1D-33	-0.0385505637914588	0.000318612146135794
IGHG2	IGLV2-11	-0.0409298825384685	0.000132358433312529
IGLV2-11	IGHG2	-0.0409298825384685	0.000132358433312528
IGKV3-20	IGKV2D-28	-0.0426824359779475	6.72452377613096e-05
IGKV2D-28	IGKV3-20	-0.0426824359779475	6.72452377613093e-05
IGHV3-48	IGHG2	-0.0440916412339656	3.82921035602507e-05
IGHG2	IGHV3-48	-0.0440916412339656	3.82921035602506e-05
IGKV2D-29	IGKV3-20	-0.0453292057644628	2.30349473627516e-05
IGKV3-20	IGKV2D-29	-0.0453292057644629	2.30349473627513e-05
IGHV4-39	IGHV5-10-1	-0.0467514554587257	1.26424200962923e-05
IGHV5-10-1	IGHV4-39	-0.0467514554587257	1.26424200962923e-05
IGHV3-64D	JCHAIN	-0.049607569527206	3.59949388557693e-06
JCHAIN	IGHV3-64D	-0.049607569527206	3.59949388557693e-06
IGKV2D-29	IGHV3-64D	-0.0573299607586754	8.52598702393731e-08
IGHV3-64D	IGKV2D-29	-0.0573299607586755	8.52598702393707e-08
IGKV3-20	IGHV3-64D	-0.0581974455804446	5.4245139355101e-08
IGHV3-64D	IGKV3-20	-0.0581974455804446	5.42451393551004e-08
IGKV2D-29	IGHV5-10-1	-0.0590141093609808	3.52311879546204e-08
IGHV5-10-1	IGKV2D-29	-0.0590141093609809	3.52311879546198e-08
IGKV2D-28	IGHV4-39	-0.0679341121476169	2.17626565281813e-10
IGHV4-39	IGKV2D-28	-0.0679341121476169	2.17626565281811e-10
IGHV3-64D	IGHV4-59	-0.0718681469963653	1.85612306002609e-11
IGHV4-59	IGHV3-64D	-0.0718681469963653	1.85612306002606e-11
IGHV3-64D	IGHV3-48	-0.0791298549569991	1.38622551324862e-13
IGHV3-48	IGHV3-64D	-0.0791298549569992	1.38622551324861e-13
IGKV2D-29	IGHV4-59	-0.0796007393966106	9.9318832748055e-14
IGHV4-59	IGKV2D-29	-0.0796007393966106	9.93188327480507e-14
IGHV4-61	IGHV3-64D	-0.0922305190266201	6.28387872088487e-18
IGHV3-64D	IGHV4-61	-0.0922305190266201	6.28387872088487e-18
IGHV4-59	IGLV2-11	-0.101449107837068	2.22677496987724e-21
IGLV2-11	IGHV4-59	-0.101449107837068	2.22677496987722e-21
IGHV5-10-1	IGHV3-64D	-0.110700181551929	3.58849825578947e-25
IGHV3-64D	IGHV5-10-1	-0.110700181551929	3.58849825578942e-25
IGKV2D-29	IGHV4-39	-0.121205541890074	6.9796584306249e-30
IGHV4-39	IGKV2D-29	-0.121205541890074	6.97965843062444e-30
IGKV3-20	IGHV4-39	-0.129270440117292	8.57667915099683e-34
IGHV4-39	IGKV3-20	-0.129270440117292	8.57667915099659e-34
