Gene1	Gene2	corVal	pValue
LAIR2	TRBV4-1	0.196582459836888	5.61060437679777e-76
TRBV4-1	LAIR2	0.196582459836887	5.61060437679905e-76
GZMA	CCL5	0.196342826876556	8.57344301854726e-76
CCL5	GZMA	0.196342826876556	8.57344301854898e-76
IL22	TRBV4-1	0.188560357187306	6.06487271936046e-70
TRBV4-1	IL22	0.188560357187305	6.06487271936827e-70
TRBV4-1	GNLY	0.173859862316663	1.40058309126329e-59
GNLY	TRBV4-1	0.173859862316662	1.40058309126461e-59
PTPRCAP	CD52	0.172481263689356	1.18192705369601e-58
CD52	PTPRCAP	0.172481263689356	1.18192705369692e-58
TSPAN13	TRBV4-1	0.172165330337953	1.92208270536367e-58
TRBV4-1	TSPAN13	0.172165330337952	1.92208270536511e-58
CD3E	PTPRCAP	0.167221358915963	3.43134129577108e-55
PTPRCAP	CD3E	0.167221358915962	3.4313412957782e-55
DUSP2	DDIT4	0.166965740455885	5.02204778030911e-55
DDIT4	DUSP2	0.166965740455885	5.02204778030926e-55
HLA-DRB1	HLA-DPA1	0.166702573981405	7.42856446720492e-55
HLA-DPA1	HLA-DRB1	0.166702573981404	7.4285644672062e-55
HLA-DPA1	HLA-DRB5	0.163894365029685	4.65267873232806e-53
HLA-DRB5	HLA-DPA1	0.163894365029684	4.65267873233032e-53
DUSP2	SRGN	0.161367415747045	1.8081583575061e-51
SRGN	DUSP2	0.161367415747045	1.808158357507e-51
IL7R	RGS1	0.160181705211213	9.86714551299805e-51
RGS1	IL7R	0.160181705211213	9.86714551299904e-51
CST7	CCL5	0.152235971927396	6.11885710866238e-46
CCL5	CST7	0.152235971927396	6.11885710866509e-46
GNLY	LAIR2	0.150125646336421	1.03983070343547e-44
LAIR2	GNLY	0.15012564633642	1.03983070343669e-44
IL32	CD3E	0.149627911904487	2.01623608660565e-44
CD3E	IL32	0.149627911904487	2.01623608660646e-44
ACTB	TMSB10	0.149049171829818	4.34189779598169e-44
TMSB10	ACTB	0.149049171829818	4.34189779598288e-44
TIGIT	TRBV4-1	0.144222041783568	2.31373399908824e-41
TRBV4-1	TIGIT	0.144222041783567	2.31373399908977e-41
CXCR4	DUSP2	0.141317863530236	9.1230280046238e-40
DUSP2	CXCR4	0.141317863530236	9.12302800462734e-40
GZMA	GNLY	0.141002414535099	1.35351456580886e-39
GNLY	GZMA	0.141002414535099	1.35351456580902e-39
CD52	LTB	0.140075506476304	4.29138671948551e-39
LTB	CD52	0.140075506476304	4.29138671948551e-39
HLA-DRB1	HLA-DQA1	0.137415628538154	1.12668623472121e-37
HLA-DQA1	HLA-DRB1	0.137415628538153	1.12668623472311e-37
TRBV4-1	PGM2L1	0.137348532029611	1.22247972246664e-37
PGM2L1	TRBV4-1	0.137348532029611	1.22247972246752e-37
CCL5	GZMM	0.136853171429305	2.23012323237428e-37
GZMM	CCL5	0.136853171429305	2.23012323237441e-37
BIRC3	DUSP2	0.135390576245374	1.29886745552628e-36
DUSP2	BIRC3	0.135390576245374	1.29886745552634e-36
ALOX5AP	PTPRCAP	0.131933216295871	7.74433957286746e-35
PTPRCAP	ALOX5AP	0.131933216295871	7.74433957286869e-35
PTPRCAP	CD3D	0.130733402941143	3.11983310502396e-34
CD3D	PTPRCAP	0.130733402941143	3.11983310502486e-34
SELL	SRGN	0.130371105275568	4.73971404117667e-34
SRGN	SELL	0.130371105275568	4.73971404117749e-34
SRGN	HLA-DRB1	0.125754569530331	8.81084880821169e-32
HLA-DRB1	SRGN	0.125754569530331	8.81084880821296e-32
TRBV4-1	CXCR3	0.125736682403895	8.98768988462776e-32
CXCR3	TRBV4-1	0.125736682403895	8.98768988462905e-32
CD3G	CD3D	0.125477206713295	1.19867522475012e-31
CD3D	CD3G	0.125477206713295	1.19867522475064e-31
TRBV4-1	TRAV8-2	0.124510077941822	3.48730727290198e-31
TRAV8-2	TRBV4-1	0.124510077941822	3.48730727290238e-31
CST7	ALOX5AP	0.124067258046742	5.67057625784048e-31
ALOX5AP	CST7	0.124067258046742	5.67057625784154e-31
CD69	PTPRCAP	0.121057292892008	1.47410589597626e-29
PTPRCAP	CD69	0.121057292892007	1.47410589597653e-29
TMSB4X	CD52	0.12033167848274	3.1940666840124e-29
CD52	TMSB4X	0.12033167848274	3.19406668401263e-29
IL22	NBAS	0.119814258412355	5.52785038392726e-29
NBAS	IL22	0.119814258412355	5.52785038392726e-29
CD74	SELL	0.119290939041564	9.60342677278588e-29
SELL	CD74	0.119290939041564	9.60342677278671e-29
S100A4	ALOX5AP	0.116997210499268	1.050126160113e-27
ALOX5AP	S100A4	0.116997210499267	1.0501261601133e-27
SRGN	ACTB	0.116613099147371	1.56029993192646e-27
ACTB	SRGN	0.116613099147371	1.56029993192727e-27
DUSP2	RGS1	0.113663045556316	3.12535449383006e-26
RGS1	DUSP2	0.113663045556315	3.12535449383038e-26
CD3G	CD3E	0.113030592936954	5.88276994380274e-26
CD3E	CD3G	0.113030592936954	5.88276994380436e-26
CD2	CD3E	0.112710403588209	8.09198287997804e-26
CD3E	CD2	0.112710403588209	8.09198287997839e-26
IL32	PTPRCAP	0.111866453991739	1.86699201484733e-25
PTPRCAP	IL32	0.111866453991739	1.86699201484798e-25
CST7	ACTB	0.109124249496875	2.70353945923103e-24
ACTB	CST7	0.109124249496875	2.70353945923113e-24
HLA-DQA1	DUSP2	0.108832916324564	3.57727582410983e-24
DUSP2	HLA-DQA1	0.108832916324564	3.57727582410988e-24
TSPAN13	IL22	0.107673903754851	1.08182497721336e-23
IL22	TSPAN13	0.10767390375485	1.08182497721398e-23
SELL	GIMAP7	0.107174454093107	1.73647586878298e-23
GIMAP7	SELL	0.107174454093107	1.73647586878329e-23
TMSB4X	CST7	0.106759187811014	2.56927510495444e-23
CST7	TMSB4X	0.106759187811014	2.56927510495448e-23
KLRB1	PTPRCAP	0.106311505743812	3.91283183841121e-23
PTPRCAP	KLRB1	0.106311505743811	3.9128318384132e-23
CD69	RGS1	0.106250378784913	4.14357117942825e-23
RGS1	CD69	0.106250378784913	4.14357117942855e-23
GNLY	C12orf75	0.103796059882056	4.02371006856635e-22
C12orf75	GNLY	0.103796059882055	4.02371006856676e-22
RGS1	TMSB4X	0.103715423984025	4.33181913419148e-22
TMSB4X	RGS1	0.103715423984025	4.33181913419176e-22
CST7	RGS1	0.103079916596227	7.73285702431997e-22
RGS1	CST7	0.103079916596227	7.7328570243202e-22
IL7R	CD3E	0.102033204790652	1.99286597263646e-21
CD3E	IL7R	0.102033204790652	1.99286597263694e-21
C12orf75	GZMA	0.101986674154621	2.07805689953627e-21
GZMA	C12orf75	0.101986674154621	2.07805689953647e-21
IL7R	IL32	0.101158914282137	4.36188926785871e-21
IL32	IL7R	0.101158914282137	4.36188926785909e-21
PGM2L1	IL22	0.101054329716112	4.78821633825992e-21
IL22	PGM2L1	0.101054329716112	4.78821633826104e-21
SRGN	BIRC3	0.100556519931635	7.45368386092102e-21
BIRC3	SRGN	0.100556519931635	7.45368386092145e-21
LTB	CD74	0.100245898936349	9.81334283061829e-21
CD74	LTB	0.100245898936349	9.81334283061972e-21
SRGN	CCL5	0.0998961861784695	1.33614548000513e-20
CCL5	SRGN	0.0998961861784694	1.33614548000526e-20
IL32	TMSB10	0.0986317412950241	4.04189993839486e-20
TMSB10	IL32	0.0986317412950239	4.04189993839551e-20
CD52	EVL	0.0972975556633125	1.28000505298795e-19
EVL	CD52	0.0972975556633122	1.28000505298824e-19
CD52	SRGN	0.0959924174166271	3.893744428268e-19
SRGN	CD52	0.0959924174166269	3.89374442826865e-19
TMSB4X	SRGN	0.0953505012466724	6.69298122064669e-19
SRGN	TMSB4X	0.095350501246672	6.69298122064854e-19
RHOH	CD69	0.0951393961500966	7.99177585096877e-19
CD69	RHOH	0.0951393961500966	7.99177585096923e-19
CST7	IL7R	0.094720405562741	1.13504550811284e-18
IL7R	CST7	0.094720405562741	1.13504550811286e-18
CXCR4	RGS1	0.0946732675454349	1.18062952583354e-18
RGS1	CXCR4	0.0946732675454348	1.1806295258336e-18
KLRB1	GNLY	0.0941045125178041	1.89572574694203e-18
GNLY	KLRB1	0.094104512517804	1.89572574694218e-18
IL7R	HLA-DQA1	0.0940174795303941	2.03768964215791e-18
HLA-DQA1	IL7R	0.094017479530394	2.0376896421581e-18
PTPRCAP	LTB	0.0939540516661306	2.14771303315245e-18
LTB	PTPRCAP	0.0939540516661303	2.14771303315301e-18
BIRC3	SAMSN1	0.0936732531840443	2.70955740413088e-18
SAMSN1	BIRC3	0.0936732531840443	2.70955740413091e-18
IL32	TNFRSF4	0.0934523972794232	3.25136481854723e-18
TNFRSF4	IL32	0.093452397279423	3.2513648185477e-18
IL22	CD69	0.0928869010134552	5.17518963954175e-18
CD69	IL22	0.0928869010134552	5.1751896395419e-18
CD74	PTPRCAP	0.092477042980277	7.23552525403259e-18
PTPRCAP	CD74	0.0924770429802763	7.23552525403682e-18
CXCR4	TMSB4X	0.0921511197997014	9.43522503874395e-18
TMSB4X	CXCR4	0.0921511197997014	9.43522503874409e-18
GZMA	CST7	0.0914895007528124	1.61262098907542e-17
CST7	GZMA	0.0914895007528122	1.61262098907568e-17
BIRC3	IL32	0.0912511584343167	1.95425817221096e-17
IL32	BIRC3	0.0912511584343166	1.95425817221126e-17
HSPA8	DDIT4	0.090443550644846	3.73372636059784e-17
DDIT4	HSPA8	0.0904435506448459	3.7337263605979e-17
IL7R	CAMK4	0.0900085771306991	5.27896465069349e-17
CAMK4	IL7R	0.0900085771306991	5.27896465069376e-17
TRBV4-1	KLRB1	0.0887201341876634	1.45834440149652e-16
KLRB1	TRBV4-1	0.0887201341876634	1.45834440149654e-16
S100A10	CST7	0.0884420513001447	1.81251786797138e-16
CST7	S100A10	0.0884420513001447	1.81251786797138e-16
TRAV8-2	TRAV8-3	0.0881865644230761	2.21194291349967e-16
TRAV8-3	TRAV8-2	0.088186564423076	2.21194291349988e-16
S100A4	TMSB10	0.0880506008312872	2.45867862322454e-16
TMSB10	S100A4	0.0880506008312871	2.45867862322475e-16
GZMA	PTPRCAP	0.0876780940130832	3.28226929936505e-16
PTPRCAP	GZMA	0.0876780940130824	3.28226929936711e-16
IL7R	S100A10	0.0874101896786233	4.03727557247872e-16
S100A10	IL7R	0.0874101896786232	4.03727557247914e-16
CCL5	GNLY	0.0868926466287164	6.01197670541979e-16
GNLY	CCL5	0.0868926466287162	6.01197670542058e-16
HLA-DQA1	HLA-DRB5	0.0868205903241516	6.35350544654758e-16
HLA-DRB5	HLA-DQA1	0.0868205903241514	6.35350544654876e-16
ACTB	CD74	0.0867386222842847	6.76529037412335e-16
CD74	ACTB	0.0867386222842842	6.76529037412592e-16
PTPRCAP	RHOH	0.0865614336087415	7.74738567223879e-16
RHOH	PTPRCAP	0.0865614336087413	7.74738567224012e-16
SELL	ACTB	0.0864210137714836	8.62429468062609e-16
ACTB	SELL	0.0864210137714836	8.62429468062647e-16
S100A10	ITM2A	0.0860510272468232	1.14305670614378e-15
ITM2A	S100A10	0.0860510272468231	1.14305670614385e-15
CXCR4	CD69	0.0856997621957471	1.49190932385043e-15
CD69	CXCR4	0.085699762195747	1.49190932385051e-15
LAIR2	NBAS	0.0856232228103342	1.58083171352664e-15
NBAS	LAIR2	0.0856232228103342	1.58083171352667e-15
ZFP36L2	S100A10	0.0850996537299571	2.34576580608974e-15
S100A10	ZFP36L2	0.0850996537299571	2.3457658060898e-15
GZMA	GIMAP7	0.0848481277056891	2.83307212492509e-15
GIMAP7	GZMA	0.084848127705689	2.83307212492528e-15
RARRES3	GIMAP7	0.0847860241470003	2.96797720161706e-15
GIMAP7	RARRES3	0.0847860241470001	2.9679772016174e-15
PTPRCAP	TRBV4-1	0.0846365740975544	3.31908604201723e-15
TRBV4-1	PTPRCAP	0.0846365740975533	3.31908604201986e-15
GIMAP7	ZFP36L2	0.084465652165558	3.77093920833147e-15
ZFP36L2	GIMAP7	0.0844656521655578	3.77093920833194e-15
IL7R	SLAMF1	0.0843839505772047	4.00780784303778e-15
SLAMF1	IL7R	0.0843839505772046	4.00780784303807e-15
ZFP36L2	HSPA8	0.0842098033759466	4.56264565970575e-15
HSPA8	ZFP36L2	0.0842098033759465	4.56264565970614e-15
HSPA8	PTGER4	0.084054265361986	5.12168195856664e-15
PTGER4	HSPA8	0.084054265361986	5.12168195856679e-15
HLA-DRB5	S100A4	0.0839666268835497	5.46582143230875e-15
S100A4	HLA-DRB5	0.0839666268835494	5.46582143230987e-15
LAIR2	TNFRSF18	0.0834730772645766	7.87350553079254e-15
TNFRSF18	LAIR2	0.0834730772645765	7.87350553079271e-15
CD3E	CD52	0.0829900890425794	1.12305044060898e-14
CD52	CD3E	0.0829900890425794	1.123050440609e-14
TNFRSF4	IL7R	0.0827635713635068	1.32565168323569e-14
IL7R	TNFRSF4	0.0827635713635067	1.32565168323574e-14
LAIR2	IL22	0.0826613569940835	1.42846350645769e-14
IL22	LAIR2	0.082661356994083	1.42846350645823e-14
DUSP2	CCL5	0.0823326989134659	1.81513240304928e-14
CCL5	DUSP2	0.0823326989134657	1.81513240304947e-14
TNFRSF18	NBAS	0.0812302441401186	4.02648741241258e-14
NBAS	TNFRSF18	0.0812302441401182	4.02648741241361e-14
PTPRCAP	GNLY	0.0812240356021298	4.04447359836908e-14
GNLY	PTPRCAP	0.081224035602129	4.04447359837133e-14
CD3D	IL32	0.0800330638786458	9.45132138325156e-14
IL32	CD3D	0.0800330638786451	9.45132138325595e-14
RARRES3	ZFP36L2	0.0798337222705651	1.08810689586539e-13
ZFP36L2	RARRES3	0.0798337222705651	1.08810689586541e-13
CD82	ACTB	0.0796005869619075	1.28242651952323e-13
ACTB	CD82	0.0796005869619074	1.28242651952329e-13
TAGAP	DUSP2	0.0790335298985777	1.90876025550733e-13
DUSP2	TAGAP	0.0790335298985777	1.90876025550737e-13
ALOX5AP	SRGN	0.0788833089374557	2.1198465988351e-13
SRGN	ALOX5AP	0.0788833089374556	2.11984659883513e-13
TRAV8-3	TSPAN13	0.078663906584384	2.46992473715396e-13
TSPAN13	TRAV8-3	0.0786639065843838	2.4699247371542e-13
CD3E	GZMA	0.0778951789096767	4.20564454138682e-13
GZMA	CD3E	0.0778951789096767	4.20564454138701e-13
PTPRCAP	LIME1	0.0765763058559049	1.03570812770056e-12
LIME1	PTPRCAP	0.0765763058559046	1.03570812770073e-12
HSPA8	IL32	0.0762715600139968	1.27276874816712e-12
IL32	HSPA8	0.0762715600139967	1.27276874816726e-12
APOBEC3G	SH2D2A	0.0761225946242542	1.40727180389296e-12
SH2D2A	APOBEC3G	0.0761225946242541	1.40727180389311e-12
CCL5	IL32	0.0755951264624344	2.00536057192575e-12
IL32	CCL5	0.0755951264624343	2.00536057192587e-12
GNLY	IL32	0.0754597060951282	2.19540219764657e-12
IL32	GNLY	0.0754597060951279	2.19540219764703e-12
ZAP70	KLRB1	0.075024709314246	2.93331121218344e-12
KLRB1	ZAP70	0.0750247093142457	2.933311212184e-12
HLA-DQA1	S100A10	0.0749359920702425	3.11126449711355e-12
S100A10	HLA-DQA1	0.0749359920702423	3.1112644971138e-12
CXCR4	IL7R	0.074199868989079	5.0586897427097e-12
IL7R	CXCR4	0.074199868989079	5.05868974270974e-12
LAIR2	TNFRSF25	0.0737179329062966	6.93659784900518e-12
TNFRSF25	LAIR2	0.0737179329062965	6.93659784900574e-12
GIMAP7	SLC9A3R1	0.0733830160639506	8.62813814592621e-12
SLC9A3R1	GIMAP7	0.0733830160639506	8.62813814592621e-12
SRGN	ZFP36L2	0.073210469612883	9.65113560793702e-12
ZFP36L2	SRGN	0.0732104696128829	9.65113560793763e-12
DDIT4	CXCR4	0.0731255249143972	1.01974955992602e-11
CXCR4	DDIT4	0.0731255249143971	1.01974955992604e-11
ZFP36L2	CXCR4	0.0728734992911465	1.20029898406784e-11
CXCR4	ZFP36L2	0.0728734992911464	1.20029898406789e-11
IL7R	BIRC3	0.0726688389109669	1.36963686548137e-11
BIRC3	IL7R	0.0726688389109669	1.36963686548138e-11
PTPRCAP	LCK	0.0724733270460015	1.55314921894536e-11
LCK	PTPRCAP	0.0724733270460009	1.55314921894601e-11
GZMM	CD3E	0.0724034485880702	1.62441148446038e-11
CD3E	GZMM	0.0724034485880701	1.62441148446055e-11
TRBV4-1	CD40LG	0.0723069774457764	1.72807772750237e-11
CD40LG	TRBV4-1	0.0723069774457759	1.72807772750294e-11
SH2D2A	TNFRSF25	0.071970475287778	2.14292543992022e-11
TNFRSF25	SH2D2A	0.071970475287778	2.14292543992027e-11
ITK	IL7R	0.0716995294736134	2.54647319014007e-11
IL7R	ITK	0.0716995294736133	2.54647319014022e-11
LCK	CD3G	0.071521793039076	2.85065433319608e-11
CD3G	LCK	0.0715217930390758	2.85065433319633e-11
BATF	IL22	0.0711658104101074	3.57060199120505e-11
IL22	BATF	0.0711658104101072	3.57060199120548e-11
TSPAN13	TOX	0.0710970335519464	3.72890716704685e-11
TOX	TSPAN13	0.0710970335519461	3.72890716704736e-11
CD28	TRAT1	0.0710624087106152	3.81118225145828e-11
TRAT1	CD28	0.0710624087106152	3.81118225145832e-11
TMSB4X	TRBV4-1	0.0709910365303087	3.98641864205561e-11
TRBV4-1	TMSB4X	0.0709910365303086	3.9864186420559e-11
GNLY	CXCR3	0.0705831025102526	5.149970332315e-11
CXCR3	GNLY	0.0705831025102526	5.14997033231513e-11
KLRB1	IL22	0.0705347218339429	5.30828685646322e-11
IL22	KLRB1	0.0705347218339428	5.3082868564637e-11
DDIT4	CD69	0.0704419100479742	5.6254308261731e-11
CD69	DDIT4	0.0704419100479741	5.6254308261735e-11
SRGN	CXCR4	0.0703775920507416	5.85600400596291e-11
CXCR4	SRGN	0.0703775920507415	5.8560040059635e-11
PGM2L1	BATF	0.0700813092660928	7.04313109644956e-11
BATF	PGM2L1	0.0700813092660926	7.04313109645016e-11
GIMAP7	CD52	0.0699627037606005	7.58166893519231e-11
CD52	GIMAP7	0.0699627037606004	7.58166893519253e-11
ALOX5AP	SELL	0.0698178959521624	8.2939612094971e-11
SELL	ALOX5AP	0.0698178959521623	8.29396120949765e-11
CST7	CXCR4	0.0697971778934008	8.40107856182552e-11
CXCR4	CST7	0.0697971778934007	8.40107856182599e-11
ISG20	PTPRCAP	0.0693206105715448	1.12742479459161e-10
PTPRCAP	ISG20	0.0693206105715447	1.12742479459167e-10
IL32	TMSB4X	0.0690006166296619	1.37212298638788e-10
TMSB4X	IL32	0.0690006166296619	1.3721229863879e-10
TMSB4X	S100A4	0.0688598421918022	1.49554872056049e-10
S100A4	TMSB4X	0.0688598421918021	1.49554872056064e-10
SH2D2A	LAIR2	0.0686643424586897	1.68510778154198e-10
LAIR2	SH2D2A	0.0686643424586896	1.68510778154202e-10
HSPA8	DUSP2	0.068453807777542	1.91549699840518e-10
DUSP2	HSPA8	0.0684538077775418	1.91549699840536e-10
TRBV4-1	LTB	0.0684223981548664	1.95240679672566e-10
LTB	TRBV4-1	0.0684223981548661	1.95240679672598e-10
KIAA1551	GIMAP7	0.068281343370182	2.12690780854556e-10
GIMAP7	KIAA1551	0.0682813433701818	2.1269078085458e-10
GZMM	CST7	0.067995632212027	2.52829541619502e-10
CST7	GZMM	0.0679956322120268	2.52829541619535e-10
CD69	HSPA8	0.0678146742079019	2.81982962871634e-10
HSPA8	CD69	0.0678146742079016	2.81982962871686e-10
SYTL1	SLC9A3R1	0.0672869386229835	3.87032702362881e-10
SLC9A3R1	SYTL1	0.0672869386229834	3.87032702362909e-10
CXCR3	CCL5	0.0672777129491174	3.89172917062644e-10
CCL5	CXCR3	0.0672777129491173	3.89172917062658e-10
LAIR2	KLRB1	0.0669125898956424	4.83808006254149e-10
KLRB1	LAIR2	0.0669125898956422	4.83808006254209e-10
HLA-DPA1	HSPA8	0.0668911602336377	4.90010969964587e-10
HSPA8	HLA-DPA1	0.0668911602336376	4.90010969964604e-10
LTB	TCF7	0.0668724799582622	4.95481359458933e-10
TCF7	LTB	0.0668724799582621	4.95481359458949e-10
IL7R	TNFRSF18	0.0667649524180521	5.28148152004433e-10
TNFRSF18	IL7R	0.066764952418052	5.28148152004445e-10
CD74	SRGN	0.0666396399601875	5.68874222580117e-10
SRGN	CD74	0.0666396399601875	5.68874222580121e-10
APOBEC3G	CXCR3	0.0665062954411875	6.15574269595994e-10
CXCR3	APOBEC3G	0.0665062954411875	6.15574269595996e-10
HLA-DPA1	CST7	0.0663892864150902	6.59618290703814e-10
CST7	HLA-DPA1	0.0663892864150901	6.59618290703878e-10
LAT	CD3D	0.0659274671136737	8.65467368836543e-10
CD3D	LAT	0.0659274671136737	8.65467368836562e-10
PTGER4	RGS1	0.0657600242299455	9.54604363270318e-10
RGS1	PTGER4	0.0657600242299455	9.54604363270329e-10
TRAV8-3	TCF7	0.0655758213810732	1.06300959247943e-09
TCF7	TRAV8-3	0.0655758213810732	1.06300959247943e-09
LAT	CD3E	0.0651666424166354	1.34851052976261e-09
CD3E	LAT	0.0651666424166353	1.3485105297627e-09
CD3E	ITM2A	0.0649385007593094	1.53882819030483e-09
ITM2A	CD3E	0.0649385007593093	1.53882819030499e-09
CD52	GNLY	0.0649012491961529	1.57229393228671e-09
GNLY	CD52	0.0649012491961528	1.57229393228683e-09
PGM2L1	S100A10	0.0648570365908695	1.61293425331186e-09
S100A10	PGM2L1	0.0648570365908695	1.6129342533119e-09
TRAT1	CD40LG	0.0648051324678797	1.66195171232308e-09
CD40LG	TRAT1	0.0648051324678796	1.66195171232315e-09
TMSB10	RARRES3	0.0647599601592018	1.70579061325907e-09
RARRES3	TMSB10	0.0647599601592018	1.7057906132591e-09
CD69	DUSP2	0.0646617101216592	1.80506598679677e-09
DUSP2	CD69	0.0646617101216592	1.8050659867968e-09
C12orf75	LIME1	0.0644404696662128	2.04966604070083e-09
LIME1	C12orf75	0.0644404696662126	2.04966604070097e-09
TNFRSF4	TNFRSF25	0.0643432437402927	2.16710237252905e-09
TNFRSF25	TNFRSF4	0.0643432437402926	2.1671023725291e-09
TRBC1	IKZF3	0.0641988018121964	2.35375670339582e-09
IKZF3	TRBC1	0.0641988018121964	2.35375670339587e-09
CXCR4	PTPRCAP	0.0641082452999374	2.47866659447881e-09
PTPRCAP	CXCR4	0.0641082452999373	2.47866659447886e-09
CD2	CD3D	0.0638973964905301	2.79503637606709e-09
CD3D	CD2	0.0638973964905301	2.79503637606721e-09
CD52	SYTL1	0.0635824458669758	3.342008407563e-09
SYTL1	CD52	0.0635824458669758	3.34200840756309e-09
