Parent	Type	Child	Weight	Probability	Score
NR5A1	+	AMH	0.000602	0.043105	0.000047
WT1pKTS	+	AMH	0.000776	0.043464	0.000061
FOXL2	-	AMH	-0.001081	0.052897	-0.000103
UGR	+	AMH	0.010697	0.393624	0.007601
SOX9	-	AMH	-0.005532	0.316659	-0.003162
GATA4	+	AMH	0.011599	0.524361	0.010980
DMRT1	+	NR0B1	0.147763	0.443642	0.118349
FGF9	+	NR0B1	0.236465	0.645586	0.275604
RSPO1	+	NR0B1	0.125784	0.150935	0.034275
DHH	+	NR0B1	0.211111	0.603594	0.230050
CTNNB1	+	NR0B1	0.144623	0.274215	0.071597
PGD2	+	NR0B1	0.077584	0.456130	0.063889
WT1mKTS	+	NR0B1	0.158248	0.160073	0.045732
SRY	-	NR0B1	-0.064834	0.131754	-0.015422
DKK1	-	NR0B1	-0.044342	0.260403	-0.020846
WNT4	+	NR0B1	0.365994	1.000000	0.660754
CBX2	+	NR0B1	0.267536	0.000000	0.000000
AMH	+	NR0B1	0.145506	0.505866	0.132887
NR0B1	+	NR0B1	0.442159	1.000000	0.798260
NR5A1	+	NR0B1	0.172615	0.979531	0.305254
WT1pKTS	+	NR0B1	0.252633	1.000000	0.456096
FOXL2	+	NR0B1	0.279070	1.000000	0.503823
UGR	-	NR0B1	-0.324996	1.000000	-0.586737
SOX9	+	NR0B1	0.113029	0.403038	0.082243
GATA4	+	NR0B1	0.103510	0.040683	0.007603
DMRT1	-	NR5A1	-0.068775	0.291239	-0.036161
FGF9	-	NR5A1	-0.034056	0.437830	-0.026919
RSPO1	-	NR5A1	-0.179407	1.000000	-0.323896
DHH	+	NR5A1	0.124209	0.518173	0.116197
CTNNB1	-	NR5A1	-0.142789	0.999956	-0.257775
PGD2	+	NR5A1	0.003642	0.426332	0.002804
WT1mKTS	-	NR5A1	-0.261340	0.000000	-0.000000
SRY	+	NR5A1	0.293352	1.000000	0.529608
DKK1	-	NR5A1	-0.059133	0.290900	-0.031056
WNT4	+	NR5A1	0.040001	0.056307	0.004066
CBX2	+	NR5A1	0.132289	0.815643	0.194800
AMH	+	NR5A1	0.027024	0.405022	0.019760
NR0B1	+	NR5A1	0.028128	0.060014	0.003048
NR5A1	+	NR5A1	0.499685	1.000000	0.902115
WT1pKTS	+	NR5A1	0.222388	1.000000	0.401492
FOXL2	+	NR5A1	0.006833	0.070035	0.000864
UGR	+	NR5A1	0.177250	0.999560	0.319860
SOX9	-	NR5A1	-0.101700	0.425778	-0.078175
GATA4	+	NR5A1	0.232990	0.999996	0.420630
DMRT1	+	WT1pKTS	0.039310	0.226965	0.016107
FGF9	+	WT1pKTS	0.011428	0.429070	0.008852
RSPO1	+	WT1pKTS	0.093128	0.148375	0.024946
DHH	+	WT1pKTS	0.131614	0.529609	0.125841
CTNNB1	+	WT1pKTS	0.003143	0.080265	0.000455
PGD2	+	WT1pKTS	0.353175	0.888076	0.566247
WT1mKTS	+	WT1pKTS	0.245615	0.999999	0.443424
SRY	-	WT1pKTS	-0.067219	0.218291	-0.026491
DKK1	+	WT1pKTS	0.057322	0.271819	0.028130
WNT4	+	WT1pKTS	0.051398	0.047719	0.004428
CBX2	+	WT1pKTS	0.046167	0.095812	0.007986
AMH	-	WT1pKTS	-0.011618	0.399937	-0.008388
NR0B1	+	WT1pKTS	0.077173	0.046169	0.006433
NR5A1	+	WT1pKTS	0.246435	1.000000	0.444906
WT1pKTS	+	WT1pKTS	0.553877	1.000000	0.999953
FOXL2	-	WT1pKTS	-0.318742	1.000000	-0.575447
UGR	+	WT1pKTS	0.058047	0.134421	0.014087
SOX9	-	WT1pKTS	-0.033985	0.313468	-0.019233
GATA4	+	WT1pKTS	0.136042	0.066351	0.016296
DMRT1	-	FOXL2	-0.074540	0.366529	-0.049324
FGF9	+	FOXL2	0.086486	0.508448	0.079389
RSPO1	+	FOXL2	0.122719	0.678071	0.150229
DHH	-	FOXL2	-0.016192	0.409679	-0.011976
CTNNB1	+	FOXL2	0.101268	0.192776	0.035244
PGD2	-	FOXL2	-0.088078	0.510724	-0.081212
WT1mKTS	+	FOXL2	0.113777	0.124647	0.025604
SRY	-	FOXL2	-0.018740	0.042767	-0.001447
DKK1	-	FOXL2	-0.107588	0.522645	-0.101516
WNT4	+	FOXL2	0.010592	0.064014	0.001224
CBX2	-	FOXL2	-0.201822	0.000000	-0.000000
AMH	-	FOXL2	-0.131711	0.587798	-0.139771
NR0B1	+	FOXL2	0.055918	0.034533	0.003486
NR5A1	+	FOXL2	0.008888	0.062016	0.000995
WT1pKTS	-	FOXL2	-0.283685	1.000000	-0.512156
FOXL2	+	FOXL2	0.547268	1.000000	0.988021
UGR	+	FOXL2	0.017863	0.052565	0.001695
SOX9	+	FOXL2	0.083957	0.433323	0.065680
GATA4	+	FOXL2	0.240747	1.000000	0.434637
DMRT1	+	UGR	0.016713	0.220000	0.006638
FGF9	+	UGR	0.075949	0.496837	0.068124
RSPO1	+	UGR	0.070282	0.198863	0.025233
DHH	+	UGR	0.098441	0.524819	0.093272
CTNNB1	+	UGR	0.063978	0.157153	0.018152
PGD2	+	UGR	0.121823	0.584483	0.128548
WT1mKTS	+	UGR	0.112520	0.002635	0.000535
SRY	+	UGR	0.183141	0.000000	0.000000
DKK1	+	UGR	0.085844	0.418393	0.064843
WNT4	-	UGR	-0.145345	1.000000	-0.262402
CBX2	+	UGR	0.150968	0.993690	0.270833
AMH	+	UGR	0.158007	0.666697	0.190183
NR0B1	-	UGR	-0.113983	1.000000	-0.205782
NR5A1	+	UGR	0.126402	0.674564	0.153937
WT1pKTS	+	UGR	0.004800	0.050534	0.000438
FOXL2	+	UGR	0.026263	0.078470	0.003721
UGR	+	UGR	0.551097	1.000000	0.994932
SOX9	+	UGR	0.043501	0.342001	0.026859
GATA4	+	UGR	0.135506	0.006774	0.001657
DMRT1	+	SOX9	0.085023	0.999952	0.153490
FGF9	+	SOX9	0.009672	0.442744	0.007731
RSPO1	-	SOX9	-0.005984	0.143210	-0.001547
DHH	-	SOX9	-0.024725	0.510161	-0.022773
CTNNB1	-	SOX9	-0.005705	0.137787	-0.001419
PGD2	+	SOX9	0.013578	0.456546	0.011191
WT1mKTS	+	SOX9	0.012100	0.064808	0.001416
SRY	+	SOX9	0.011313	0.123636	0.002525
DKK1	+	SOX9	0.037967	0.702477	0.048150
WNT4	+	SOX9	0.016152	0.101614	0.002963
CBX2	-	SOX9	-0.007524	0.101124	-0.001374
AMH	-	SOX9	-0.008257	0.411012	-0.006127
NR0B1	+	SOX9	0.002891	0.069546	0.000363
NR5A1	+	SOX9	0.017567	0.442139	0.014022
WT1pKTS	-	SOX9	-0.002954	0.064180	-0.000342
FOXL2	-	SOX9	-0.000690	0.048949	-0.000061
UGR	+	SOX9	0.003427	0.037270	0.000231
SOX9	+	SOX9	0.089709	0.996802	0.161440
GATA4	-	SOX9	-0.002934	0.107445	-0.000569
DMRT1	+	GATA4	0.083392	0.306077	0.046081
FGF9	+	GATA4	0.119218	0.516652	0.111200
RSPO1	+	GATA4	0.215074	0.999978	0.388278
DHH	+	GATA4	0.030455	0.413243	0.022721
CTNNB1	+	GATA4	0.114340	0.198779	0.041033
PGD2	+	GATA4	0.147989	0.555476	0.148409
WT1mKTS	+	GATA4	0.270014	1.000000	0.487475
SRY	+	GATA4	0.028559	0.050832	0.002621
DKK1	+	GATA4	0.038109	0.246019	0.016926
WNT4	+	GATA4	0.181073	0.958827	0.313443
CBX2	+	GATA4	0.076809	0.203530	0.028223
AMH	+	GATA4	0.175794	0.591401	0.187695
NR0B1	+	GATA4	0.042251	0.053706	0.004097
NR5A1	+	GATA4	0.267107	1.000000	0.482227
WT1pKTS	+	GATA4	0.232855	1.000000	0.420388
FOXL2	+	GATA4	0.297269	1.000000	0.536680
UGR	+	GATA4	0.210375	1.000000	0.379804
SOX9	+	GATA4	0.042228	0.320151	0.024407
GATA4	+	GATA4	0.430440	1.000000	0.777103
