Parent	Type	Child	Weight	Probability	Score
WT1mKTS	+	WT1mKTS	0.417427	1.000000	0.620404
SRY	+	WT1mKTS	0.057800	0.076423	0.006565
DKK1	+	WT1mKTS	0.055092	0.089176	0.007302
WNT4	+	WT1mKTS	0.057873	0.112278	0.009658
CBX2	+	WT1mKTS	0.034355	0.072954	0.003725
AMH	-	WT1mKTS	-0.046335	0.160297	-0.011039
NR0B1	+	WT1mKTS	0.182991	0.999131	0.271735
NR5A1	+	WT1mKTS	0.238142	1.000000	0.353940
WT1pKTS	+	WT1mKTS	0.252875	0.999987	0.375833
FOXL2	+	WT1mKTS	0.125873	0.492262	0.092092
UGR	+	WT1mKTS	0.231660	1.000000	0.344307
SOX9	+	WT1mKTS	0.203085	0.000000	0.000000
GATA4	+	WT1mKTS	0.322170	1.000000	0.478827
DMRT1	+	SRY	0.270463	0.999989	0.401973
FGF9	+	SRY	0.042206	0.099651	0.006251
RSPO1	-	SRY	-0.049843	0.098393	-0.007289
DHH	+	SRY	0.028778	0.092701	0.003965
CTNNB1	+	SRY	0.194351	0.823439	0.237855
PGD2	+	SRY	0.100652	0.227068	0.033968
WT1mKTS	+	SRY	0.190989	0.611520	0.173586
SRY	+	SRY	0.344904	1.000000	0.512617
DKK1	+	SRY	0.240632	0.998730	0.357187
WNT4	+	SRY	0.180450	0.982810	0.263584
CBX2	-	SRY	-0.211775	0.999965	-0.314742
AMH	+	SRY	0.057835	0.111118	0.009551
NR0B1	+	SRY	0.227684	0.999937	0.338376
NR5A1	+	SRY	0.033466	0.063971	0.003182
WT1pKTS	+	SRY	0.131597	0.081944	0.016027
FOXL2	-	SRY	-0.062711	0.424217	-0.039539
UGR	-	SRY	-0.224580	0.999888	-0.333746
SOX9	+	SRY	0.185555	0.947235	0.261231
GATA4	+	SRY	0.186989	0.545518	0.151607
DMRT1	+	DKK1	0.406879	1.000000	0.604727
FGF9	-	DKK1	-0.070422	0.500666	-0.052402
RSPO1	+	DKK1	0.157521	0.990963	0.232001
DHH	+	DKK1	0.145662	0.966037	0.209138
CTNNB1	-	DKK1	-0.201527	0.999160	-0.299269
PGD2	-	DKK1	-0.042928	0.236760	-0.015106
WT1mKTS	+	DKK1	0.110093	0.240727	0.039389
SRY	+	DKK1	0.119029	0.529156	0.093612
DKK1	+	DKK1	0.381405	1.000000	0.566865
WNT4	+	DKK1	0.286834	0.000000	0.000000
CBX2	-	DKK1	-0.145101	0.999988	-0.215655
AMH	+	DKK1	0.111747	0.631237	0.104839
NR0B1	+	DKK1	0.104578	0.709878	0.110337
NR5A1	+	DKK1	0.218801	0.000000	0.000000
WT1pKTS	+	DKK1	0.149333	0.950562	0.210975
FOXL2	+	DKK1	0.024966	0.409629	0.015200
UGR	-	DKK1	-0.012692	0.050468	-0.000952
SOX9	+	DKK1	0.118380	0.684331	0.120403
GATA4	+	DKK1	0.066406	0.059614	0.005884
DMRT1	+	WNT4	0.283293	0.000000	0.000000
FGF9	+	WNT4	0.057767	0.218854	0.018790
RSPO1	+	WNT4	0.335399	1.000000	0.498490
DHH	+	WNT4	0.021417	0.103149	0.003283
CTNNB1	-	WNT4	-0.200426	0.996493	-0.296841
PGD2	+	WNT4	0.049755	0.176911	0.013082
WT1mKTS	+	WNT4	0.063568	0.190878	0.018034
SRY	+	WNT4	0.090458	0.496709	0.066780
DKK1	+	WNT4	0.323976	0.000000	0.000000
WNT4	+	WNT4	0.527890	1.000000	0.784580
CBX2	-	WNT4	-0.077837	0.424416	-0.049099
AMH	+	WNT4	0.007497	0.089453	0.000997
NR0B1	+	WNT4	0.148230	0.999910	0.220289
NR5A1	+	WNT4	0.127049	0.992933	0.187494
WT1pKTS	+	WNT4	0.041350	0.110964	0.006820
FOXL2	+	WNT4	0.056663	0.434448	0.036588
UGR	-	WNT4	-0.196316	1.000000	-0.291776
SOX9	-	WNT4	-0.139376	0.997580	-0.206647
GATA4	+	WNT4	0.158477	0.999939	0.235523
DMRT1	-	CBX2	-0.079713	0.249200	-0.029524
FGF9	+	CBX2	0.008674	0.092106	0.001187
RSPO1	-	CBX2	-0.019532	0.049969	-0.001451
DHH	-	CBX2	-0.011123	0.093199	-0.001541
CTNNB1	-	CBX2	-0.289543	0.999914	-0.430298
PGD2	-	CBX2	-0.023361	0.102391	-0.003555
WT1mKTS	+	CBX2	0.213402	0.999958	0.317157
SRY	+	CBX2	0.450164	0.000000	0.000000
DKK1	-	CBX2	-0.168767	0.984346	-0.246905
WNT4	+	CBX2	0.040783	0.084788	0.005139
CBX2	+	CBX2	0.392806	1.000000	0.583811
AMH	-	CBX2	-0.107433	0.490054	-0.078249
NR0B1	-	CBX2	-0.092242	0.317676	-0.043552
NR5A1	+	CBX2	0.238908	1.000000	0.355078
WT1pKTS	+	CBX2	0.163472	0.984188	0.239120
FOXL2	+	CBX2	0.285162	0.692346	0.293433
UGR	+	CBX2	0.288049	1.000000	0.428115
SOX9	-	CBX2	-0.196190	0.999101	-0.291326
GATA4	+	CBX2	0.207457	0.999942	0.308317
DMRT1	+	AMH	0.132056	0.000000	0.000000
FGF9	+	AMH	0.198153	1.000000	0.294506
RSPO1	+	AMH	0.034630	0.143315	0.007376
DHH	+	AMH	0.229615	1.000000	0.341267
CTNNB1	-	AMH	-0.023629	0.075997	-0.002669
PGD2	+	AMH	0.288156	1.000000	0.428274
WT1mKTS	+	AMH	0.060183	0.037035	0.003313
SRY	+	AMH	0.028376	0.047894	0.002020
DKK1	+	AMH	0.007582	0.064893	0.000731
WNT4	+	AMH	0.011486	0.056416	0.000963
CBX2	-	AMH	-0.012478	0.060895	-0.001129
AMH	+	AMH	0.364376	1.000000	0.541557
NR0B1	-	AMH	-0.069438	0.958958	-0.098967
NR5A1	-	AMH	-0.028026	0.350901	-0.014616
WT1pKTS	+	AMH	0.034513	0.037440	0.001920
FOXL2	+	AMH	0.040289	0.436443	0.026134
UGR	-	AMH	-0.030389	0.134090	-0.006056
SOX9	+	AMH	0.081593	0.197684	0.023973
GATA4	-	AMH	-0.005036	0.098732	-0.000739
DMRT1	+	NR0B1	0.156452	0.988317	0.229811
FGF9	-	NR0B1	-0.145092	0.978096	-0.210921
RSPO1	+	NR0B1	0.338768	0.000000	0.000000
DHH	-	NR0B1	-0.178507	0.999259	-0.265111
CTNNB1	+	NR0B1	0.263276	0.999913	0.391262
PGD2	-	NR0B1	-0.241660	1.000000	-0.359169
WT1mKTS	+	NR0B1	0.186720	0.999799	0.277458
SRY	+	NR0B1	0.093449	0.309761	0.043022
DKK1	+	NR0B1	0.153116	0.980555	0.223144
WNT4	+	NR0B1	0.264552	1.000000	0.393193
CBX2	-	NR0B1	-0.149166	0.994538	-0.220488
AMH	-	NR0B1	-0.262424	1.000000	-0.390029
NR0B1	+	NR0B1	0.431592	1.000000	0.641457
NR5A1	-	NR0B1	-0.190360	0.000000	-0.000000
WT1pKTS	+	NR0B1	0.245207	1.000000	0.364441
FOXL2	-	NR0B1	-0.073205	0.443851	-0.048291
UGR	-	NR0B1	-0.264552	1.000000	-0.393192
SOX9	+	NR0B1	0.031351	0.088242	0.004112
GATA4	+	NR0B1	0.124540	0.719495	0.133177
DMRT1	+	NR5A1	0.435291	0.000000	0.000000
FGF9	+	NR5A1	0.067469	0.133266	0.013364
RSPO1	+	NR5A1	0.426492	0.000000	0.000000
DHH	-	NR5A1	-0.058755	0.188726	-0.016480
CTNNB1	+	NR5A1	0.006505	0.049708	0.000481
PGD2	+	NR5A1	0.216979	0.995732	0.321110
WT1mKTS	+	NR5A1	0.246435	0.999894	0.366227
SRY	+	NR5A1	0.242725	0.000000	0.000000
DKK1	-	NR5A1	-0.046935	0.178877	-0.012478
WNT4	+	NR5A1	0.131176	0.565341	0.110220
CBX2	+	NR5A1	0.125310	0.522963	0.097399
AMH	-	NR5A1	-0.074832	0.245188	-0.027270
NR0B1	+	NR5A1	0.018252	0.062481	0.001695
NR5A1	+	NR5A1	0.594270	1.000000	0.883238
WT1pKTS	+	NR5A1	0.166032	0.609715	0.150457
FOXL2	+	NR5A1	0.317741	0.746366	0.352467
UGR	+	NR5A1	0.029462	0.056814	0.002488
SOX9	+	NR5A1	0.336507	1.000000	0.500135
GATA4	+	NR5A1	0.242657	0.999838	0.360593
DMRT1	+	WT1pKTS	0.145007	0.731402	0.157630
FGF9	-	WT1pKTS	-0.057194	0.190756	-0.016215
RSPO1	-	WT1pKTS	-0.013636	0.049706	-0.001007
DHH	+	WT1pKTS	0.074453	0.168231	0.018616
CTNNB1	+	WT1pKTS	0.116244	0.314889	0.054403
PGD2	-	WT1pKTS	-0.015053	0.104065	-0.002328
WT1mKTS	+	WT1pKTS	0.306665	1.000000	0.455783
SRY	+	WT1pKTS	0.233225	0.000000	0.000000
DKK1	+	WT1pKTS	0.180113	0.980530	0.262482
WNT4	+	WT1pKTS	0.090607	0.247948	0.033390
CBX2	+	WT1pKTS	0.055311	0.109784	0.009025
AMH	+	WT1pKTS	0.174697	0.959622	0.249160
NR0B1	+	WT1pKTS	0.208632	0.999960	0.310068
NR5A1	+	WT1pKTS	0.229968	0.999999	0.341791
WT1pKTS	+	WT1pKTS	0.403497	1.000000	0.599700
FOXL2	+	WT1pKTS	0.422490	0.906060	0.568941
UGR	+	WT1pKTS	0.162367	0.961446	0.232015
SOX9	+	WT1pKTS	0.292043	0.000000	0.000000
GATA4	+	WT1pKTS	0.309079	1.000000	0.459370
DMRT1	-	FOXL2	-0.005655	0.169627	-0.001426
FGF9	+	FOXL2	0.000150	0.084894	0.000019
RSPO1	+	FOXL2	0.003924	0.066358	0.000387
DHH	+	FOXL2	0.000817	0.084295	0.000102
CTNNB1	+	FOXL2	0.011630	0.240801	0.004162
PGD2	-	FOXL2	-0.000441	0.086871	-0.000057
WT1mKTS	+	FOXL2	0.004052	0.085140	0.000513
SRY	-	FOXL2	-0.003872	0.122711	-0.000706
DKK1	+	FOXL2	0.011492	0.273338	0.004669
WNT4	+	FOXL2	0.006800	0.142750	0.001443
CBX2	+	FOXL2	0.003517	0.072117	0.000377
AMH	+	FOXL2	0.008265	0.221281	0.002718
NR0B1	+	FOXL2	0.003997	0.086121	0.000512
NR5A1	-	FOXL2	-0.003256	0.102030	-0.000494
WT1pKTS	+	FOXL2	0.003114	0.082305	0.000381
FOXL2	+	FOXL2	0.014023	0.481725	0.010040
UGR	+	FOXL2	0.011865	0.491026	0.008659
SOX9	-	FOXL2	-0.000626	0.066128	-0.000062
GATA4	+	FOXL2	0.008422	0.123258	0.001543
DMRT1	+	UGR	0.028777	0.090546	0.003873
FGF9	-	UGR	-0.033315	0.175784	-0.008704
RSPO1	+	UGR	0.172045	0.999983	0.255699
DHH	-	UGR	-0.038107	0.199054	-0.011274
CTNNB1	-	UGR	-0.044305	0.117119	-0.007712
PGD2	-	UGR	-0.084391	0.811507	-0.101785
WT1mKTS	+	UGR	0.145182	0.998745	0.215507
SRY	-	UGR	-0.086235	0.961037	-0.123173
DKK1	-	UGR	-0.038340	0.206373	-0.011760
WNT4	+	UGR	0.301660	0.000000	0.000000
CBX2	+	UGR	0.120625	0.983533	0.176328
AMH	-	UGR	-0.108545	0.982580	-0.158516
NR0B1	+	UGR	0.304069	0.000000	0.000000
NR5A1	+	UGR	0.111419	0.929782	0.153970
WT1pKTS	+	UGR	0.043035	0.085904	0.005494
FOXL2	+	UGR	0.343950	0.959151	0.490316
UGR	+	UGR	0.513079	1.000000	0.762567
SOX9	-	UGR	-0.084542	0.843850	-0.106031
GATA4	+	UGR	0.150870	0.999782	0.224183
DMRT1	+	SOX9	0.162604	0.664382	0.160562
FGF9	+	SOX9	0.009282	0.084954	0.001172
RSPO1	-	SOX9	-0.076758	0.377700	-0.043089
DHH	+	SOX9	0.131263	0.488639	0.095329
CTNNB1	+	SOX9	0.112274	0.599259	0.099997
PGD2	+	SOX9	0.141185	0.669924	0.140575
WT1mKTS	-	SOX9	-0.026662	0.288552	-0.011434
SRY	+	SOX9	0.012301	0.055651	0.001017
DKK1	+	SOX9	0.063287	0.023423	0.002203
WNT4	-	SOX9	-0.150373	1.000000	-0.223493
CBX2	-	SOX9	-0.067710	0.453914	-0.045679
AMH	+	SOX9	0.091866	0.117048	0.015981
NR0B1	+	SOX9	0.087010	0.412555	0.053351
NR5A1	+	SOX9	0.171999	0.889426	0.227369
WT1pKTS	-	SOX9	-0.003406	0.095247	-0.000482
FOXL2	-	SOX9	-0.009563	0.404093	-0.005743
UGR	-	SOX9	-0.054870	0.220358	-0.017970
SOX9	+	SOX9	0.589534	1.000000	0.876199
GATA4	-	SOX9	-0.007752	0.112759	-0.001299
DMRT1	+	GATA4	0.155818	0.623894	0.144485
FGF9	+	GATA4	0.103337	0.275802	0.042359
RSPO1	+	GATA4	0.149953	0.861128	0.191919
DHH	-	GATA4	-0.019986	0.113875	-0.003383
CTNNB1	+	GATA4	0.017199	0.052744	0.001348
PGD2	+	GATA4	0.052673	0.106399	0.008330
WT1mKTS	+	GATA4	0.312364	1.000000	0.464253
SRY	+	GATA4	0.035363	0.058830	0.003092
DKK1	+	GATA4	0.088806	0.095004	0.012539
WNT4	+	GATA4	0.107167	0.310085	0.049390
CBX2	-	GATA4	-0.059014	0.185739	-0.016291
AMH	+	GATA4	0.019486	0.083836	0.002428
NR0B1	+	GATA4	0.187731	0.997668	0.278366
NR5A1	+	GATA4	0.294695	1.000000	0.437992
WT1pKTS	+	GATA4	0.286580	0.999997	0.425931
FOXL2	+	GATA4	0.673762	0.998618	1.000000
UGR	+	GATA4	0.257492	1.000000	0.382699
SOX9	+	GATA4	0.253547	0.000000	0.000000
GATA4	+	GATA4	0.430517	1.000000	0.639858
