Parent	Type	Child	Weight	Probability	Score
RHOH	-	TIGIT	-0.899541	0.000000	NaN
SH2D1A	+	TIGIT	0.089961	0.000000	NaN
NBAS	+	TIGIT	0.463044	0.000000	NaN
CD3E	+	TIGIT	1.253901	0.000000	NaN
ALOX5AP	+	TIGIT	0.081857	0.000000	NaN
SKAP1	+	TIGIT	0.390359	0.000000	NaN
LIME1	-	TIGIT	-0.249633	0.000000	NaN
TNFRSF4	-	TIGIT	-0.127211	0.000000	NaN
SEPT1	-	TIGIT	-0.061794	0.000000	NaN
TMC8	+	TIGIT	0.469063	0.000000	NaN
HLA-DPA1	+	TIGIT	0.001707	0.000000	NaN
IL2RG	+	TIGIT	0.839003	0.000000	NaN
GNLY	+	TIGIT	0.220514	0.000000	NaN
CD3G	+	TIGIT	0.943432	0.000000	NaN
PTPN7	+	TIGIT	0.589900	0.000000	NaN
SIT1	+	TIGIT	0.581300	0.000000	NaN
ZFP36L2	+	TIGIT	1.516018	0.000000	NaN
TMSB10	-	TIGIT	-0.034279	0.000000	NaN
IKZF3	-	TIGIT	-1.263628	0.000000	NaN
ITM2A	-	TIGIT	-0.661650	0.000000	NaN
TAGAP	+	TIGIT	1.166849	0.000000	NaN
S100A10	-	TIGIT	-0.036854	0.000000	NaN
TRAC	+	TIGIT	1.206418	0.000000	NaN
C12orf75	+	TIGIT	1.775285	0.000000	NaN
CD96	+	TIGIT	0.792745	0.000000	NaN
SLC9A3R1	+	TIGIT	0.247790	0.000000	NaN
DUSP2	-	TIGIT	-0.063148	0.000000	NaN
SELL	-	TIGIT	-0.509314	0.000000	NaN
TRBC1	+	TIGIT	1.755534	0.000000	NaN
HLA-DRB5	+	TIGIT	0.003309	0.000000	NaN
CXCR4	-	TIGIT	-0.079343	0.000000	NaN
SRGN	-	TIGIT	-0.037877	0.000000	NaN
RASAL3	+	TIGIT	1.259340	0.000000	NaN
LAT	-	TIGIT	-0.356644	0.000000	NaN
CD2	+	TIGIT	0.933186	0.000000	NaN
IL7R	+	TIGIT	0.563722	0.000000	NaN
SYTL1	+	TIGIT	0.215466	0.000000	NaN
S100A4	-	TIGIT	-0.022942	0.000000	NaN
CD40LG	-	TIGIT	-0.066258	0.000000	NaN
PTPRCAP	+	TIGIT	0.844324	0.000000	NaN
LTB	+	TIGIT	0.568892	0.000000	NaN
GATA3	+	TIGIT	0.270930	0.000000	NaN
LCK	-	TIGIT	-0.515244	0.000000	NaN
BATF	+	TIGIT	0.395578	0.000000	NaN
TRBC2	+	TIGIT	0.324909	0.000000	NaN
GZMA	+	TIGIT	0.453796	0.000000	NaN
TNFRSF25	+	TIGIT	1.016545	0.000000	NaN
KIAA1551	+	TIGIT	0.902919	0.000000	NaN
CXCR3	+	TIGIT	0.026136	0.000000	NaN
DDIT4	+	TIGIT	0.123798	0.000000	NaN
TC2N	+	TIGIT	0.851240	0.000000	NaN
GZMM	+	TIGIT	0.562304	0.000000	NaN
SH2D2A	+	TIGIT	0.152814	0.000000	NaN
ITK	+	TIGIT	1.623337	0.000000	NaN
HLA-DRB1	+	TIGIT	0.001905	0.000000	NaN
TSPAN13	+	TIGIT	0.134824	0.000000	NaN
RGS1	-	TIGIT	-0.134454	0.000000	NaN
APOBEC3G	+	TIGIT	0.029806	0.000000	NaN
PIM2	+	TIGIT	0.862958	0.000000	NaN
TUBA4A	+	TIGIT	0.594346	0.000000	NaN
RARRES3	-	TIGIT	-0.152039	0.000000	NaN
TCF7	+	TIGIT	0.048759	0.000000	NaN
KLRB1	+	TIGIT	0.736056	0.000000	NaN
GIMAP7	+	TIGIT	2.271750	0.000000	NaN
CD247	+	TIGIT	1.713516	0.000000	NaN
PGM2L1	+	TIGIT	0.585007	0.000000	NaN
CD3D	+	TIGIT	1.516137	0.000000	NaN
IL22	+	TIGIT	0.071364	0.000000	NaN
CCL5	+	TIGIT	0.189406	0.000000	NaN
CLEC2D	+	TIGIT	1.187681	0.000000	NaN
CAMK4	+	TIGIT	0.891932	0.000000	NaN
TRAV8-2	+	TIGIT	1.870989	0.000000	NaN
CD74	+	TIGIT	0.000726	0.000000	NaN
CD28	+	TIGIT	0.599276	0.000000	NaN
TNFRSF18	+	TIGIT	1.164787	0.000000	NaN
CD52	+	TIGIT	0.864607	0.000000	NaN
IL32	+	TIGIT	0.039053	0.000000	NaN
TRAV8-3	-	TIGIT	-0.063578	0.000000	NaN
ZAP70	+	TIGIT	0.548734	0.000000	NaN
ISG20	+	TIGIT	0.848374	0.000000	NaN
CD69	+	TIGIT	1.181414	0.000000	NaN
SLC38A1	+	TIGIT	0.221898	0.000000	NaN
LY9	-	TIGIT	-0.784822	0.000000	NaN
HSPA8	-	TIGIT	-0.148560	0.000000	NaN
EVL	+	TIGIT	0.004979	0.000000	NaN
TOX	-	TIGIT	-1.272462	0.000000	NaN
TRAT1	+	TIGIT	1.012458	0.000000	NaN
LAIR2	+	TIGIT	0.569729	0.000000	NaN
CD82	-	TIGIT	-0.164901	0.000000	NaN
ACTB	+	BIRC3	0.507231	0.000000	NaN
TIGIT	+	BIRC3	0.109881	0.000000	NaN
BIRC3	+	BIRC3	4.961202	0.000000	NaN
SLAMF1	+	BIRC3	2.211911	0.000000	NaN
CST7	+	BIRC3	1.960712	0.000000	NaN
SAMSN1	+	BIRC3	9.174662	0.000000	NaN
HLA-DQA1	+	BIRC3	1.772284	0.000000	NaN
TMSB4X	+	BIRC3	1.065804	0.000000	NaN
TRBV4-1	-	BIRC3	-0.252918	0.000000	NaN
PTGER4	+	BIRC3	0.349694	0.000000	NaN
RHOH	-	BIRC3	-2.412461	0.000000	NaN
SH2D1A	-	BIRC3	-0.628533	0.000000	NaN
NBAS	+	BIRC3	0.581628	0.000000	NaN
CD3E	-	BIRC3	-0.568672	0.000000	NaN
ALOX5AP	+	BIRC3	0.710805	0.000000	NaN
SKAP1	-	BIRC3	-0.775485	0.000000	NaN
LIME1	-	BIRC3	-0.381508	0.000000	NaN
TNFRSF4	-	BIRC3	-0.125035	0.000000	NaN
SEPT1	+	BIRC3	1.438161	0.000000	NaN
TMC8	+	BIRC3	2.820347	0.000000	NaN
HLA-DPA1	+	BIRC3	1.480390	0.000000	NaN
IL2RG	+	BIRC3	2.134455	0.000000	NaN
GNLY	+	BIRC3	0.109622	0.000000	NaN
CD3G	+	BIRC3	0.425412	0.000000	NaN
PTPN7	+	BIRC3	1.111323	0.000000	NaN
SIT1	+	BIRC3	0.035136	0.000000	NaN
ZFP36L2	+	BIRC3	4.302481	0.000000	NaN
TMSB10	+	BIRC3	3.659846	0.000000	NaN
IKZF3	-	BIRC3	-2.229568	0.000000	NaN
ITM2A	-	BIRC3	-1.528905	0.000000	NaN
TAGAP	+	BIRC3	5.145404	0.000000	NaN
S100A10	+	BIRC3	6.708782	0.000000	NaN
TRAC	+	BIRC3	2.071390	0.000000	NaN
C12orf75	+	BIRC3	2.792113	0.000000	NaN
CD96	-	BIRC3	-0.431997	0.000000	NaN
SLC9A3R1	-	BIRC3	-0.649091	0.000000	NaN
DUSP2	+	BIRC3	2.887757	0.000000	NaN
SELL	+	BIRC3	5.154408	0.000000	NaN
TRBC1	+	BIRC3	3.006165	0.000000	NaN
HLA-DRB5	+	BIRC3	2.953593	0.000000	NaN
CXCR4	+	BIRC3	3.149650	0.000000	NaN
SRGN	+	BIRC3	8.786339	0.000000	NaN
RASAL3	+	BIRC3	1.898745	0.000000	NaN
LAT	+	BIRC3	0.323332	0.000000	NaN
CD2	-	BIRC3	-0.768357	0.000000	NaN
IL7R	+	BIRC3	3.702700	0.000000	NaN
SYTL1	+	BIRC3	2.279452	0.000000	NaN
S100A4	+	BIRC3	4.005164	0.000000	NaN
CD40LG	+	BIRC3	0.850470	0.000000	NaN
PTPRCAP	-	BIRC3	-0.184819	0.000000	NaN
LTB	-	BIRC3	-0.356336	0.000000	NaN
GATA3	-	BIRC3	-2.881470	0.000000	NaN
LCK	-	BIRC3	-1.739275	0.000000	NaN
BATF	-	BIRC3	-0.010819	0.000000	NaN
TRBC2	+	BIRC3	0.283484	0.000000	NaN
GZMA	-	BIRC3	-0.374385	0.000000	NaN
TNFRSF25	-	BIRC3	-0.401889	0.000000	NaN
KIAA1551	+	BIRC3	5.003279	0.000000	NaN
CXCR3	-	BIRC3	-0.002334	0.000000	NaN
DDIT4	+	BIRC3	3.844571	0.000000	NaN
TC2N	-	BIRC3	-0.790622	0.000000	NaN
GZMM	+	BIRC3	2.319868	0.000000	NaN
SH2D2A	-	BIRC3	-0.202104	0.000000	NaN
ITK	+	BIRC3	1.929005	0.000000	NaN
HLA-DRB1	+	BIRC3	1.983255	0.000000	NaN
TSPAN13	-	BIRC3	-1.373969	0.000000	NaN
RGS1	-	BIRC3	-0.044464	0.000000	NaN
APOBEC3G	+	BIRC3	0.336555	0.000000	NaN
PIM2	-	BIRC3	-0.525725	0.000000	NaN
TUBA4A	+	BIRC3	1.677152	0.000000	NaN
RARRES3	+	BIRC3	3.043596	0.000000	NaN
TCF7	-	BIRC3	-0.389497	0.000000	NaN
KLRB1	-	BIRC3	-1.120136	0.000000	NaN
GIMAP7	+	BIRC3	7.672984	0.000000	NaN
CD247	+	BIRC3	0.674709	0.000000	NaN
PGM2L1	+	BIRC3	1.057152	0.000000	NaN
CD3D	-	BIRC3	-0.406636	0.000000	NaN
IL22	+	BIRC3	0.038540	0.000000	NaN
CCL5	-	BIRC3	-0.040471	0.000000	NaN
CLEC2D	+	BIRC3	1.929691	0.000000	NaN
CAMK4	+	BIRC3	1.060371	0.000000	NaN
TRAV8-2	+	BIRC3	1.991574	0.000000	NaN
CD74	+	BIRC3	0.731760	0.000000	NaN
CD28	-	BIRC3	-0.609869	0.000000	NaN
TNFRSF18	+	BIRC3	2.104349	0.000000	NaN
CD52	+	BIRC3	2.636391	0.000000	NaN
IL32	-	BIRC3	-0.067348	0.000000	NaN
TRAV8-3	-	BIRC3	-2.215520	0.000000	NaN
ZAP70	+	BIRC3	0.576916	0.000000	NaN
ISG20	+	BIRC3	2.169110	0.000000	NaN
CD69	-	BIRC3	-0.150171	0.000000	NaN
SLC38A1	+	BIRC3	1.105710	0.000000	NaN
LY9	-	BIRC3	-1.198059	0.000000	NaN
HSPA8	+	BIRC3	0.461812	0.000000	NaN
EVL	-	BIRC3	-1.260922	0.000000	NaN
TOX	-	BIRC3	-0.292154	0.000000	NaN
TRAT1	-	BIRC3	-1.573549	0.000000	NaN
LAIR2	+	BIRC3	0.068427	0.000000	NaN
CD82	+	BIRC3	0.611519	0.000000	NaN
ACTB	+	SLAMF1	0.027368	0.000000	NaN
TIGIT	+	SLAMF1	0.001195	0.000000	NaN
BIRC3	+	SLAMF1	0.396868	0.000000	NaN
SLAMF1	+	SLAMF1	0.798950	0.000000	NaN
CST7	+	SLAMF1	0.111734	0.000000	NaN
SAMSN1	+	SLAMF1	0.710766	0.000000	NaN
HLA-DQA1	+	SLAMF1	0.047324	0.000000	NaN
TMSB4X	+	SLAMF1	0.053068	0.000000	NaN
TRBV4-1	+	SLAMF1	0.053671	0.000000	NaN
PTGER4	+	SLAMF1	0.241207	0.000000	NaN
RHOH	-	SLAMF1	-0.518436	0.000000	NaN
SH2D1A	-	SLAMF1	-0.050284	0.000000	NaN
NBAS	+	SLAMF1	0.279099	0.000000	NaN
CD3E	+	SLAMF1	0.312708	0.000000	NaN
ALOX5AP	+	SLAMF1	0.337521	0.000000	NaN
SKAP1	-	SLAMF1	-0.271565	0.000000	NaN
LIME1	+	SLAMF1	0.297649	0.000000	NaN
TNFRSF4	+	SLAMF1	0.041709	0.000000	NaN
SEPT1	+	SLAMF1	0.628165	0.000000	NaN
TMC8	+	SLAMF1	0.731533	0.000000	NaN
HLA-DPA1	+	SLAMF1	0.035853	0.000000	NaN
IL2RG	+	SLAMF1	0.599407	0.000000	NaN
GNLY	+	SLAMF1	0.171594	0.000000	NaN
CD3G	+	SLAMF1	0.543539	0.000000	NaN
PTPN7	-	SLAMF1	-0.087745	0.000000	NaN
SIT1	+	SLAMF1	0.095697	0.000000	NaN
ZFP36L2	+	SLAMF1	0.487340	0.000000	NaN
TMSB10	+	SLAMF1	0.153898	0.000000	NaN
IKZF3	-	SLAMF1	-0.621282	0.000000	NaN
ITM2A	-	SLAMF1	-0.273940	0.000000	NaN
TAGAP	+	SLAMF1	1.247468	0.000000	NaN
S100A10	+	SLAMF1	0.279595	0.000000	NaN
TRAC	+	SLAMF1	0.716730	0.000000	NaN
C12orf75	+	SLAMF1	0.299753	0.000000	NaN
CD96	-	SLAMF1	-0.348390	0.000000	NaN
SLC9A3R1	-	SLAMF1	-0.311626	0.000000	NaN
DUSP2	+	SLAMF1	0.297438	0.000000	NaN
SELL	+	SLAMF1	0.411529	0.000000	NaN
TRBC1	+	SLAMF1	1.155691	0.000000	NaN
HLA-DRB5	+	SLAMF1	0.058629	0.000000	NaN
CXCR4	+	SLAMF1	0.272537	0.000000	NaN
SRGN	+	SLAMF1	0.279598	0.000000	NaN
RASAL3	+	SLAMF1	0.583709	0.000000	NaN
LAT	-	SLAMF1	-0.069252	0.000000	NaN
CD2	+	SLAMF1	0.006992	0.000000	NaN
IL7R	+	SLAMF1	1.031522	0.000000	NaN
SYTL1	+	SLAMF1	0.241975	0.000000	NaN
S100A4	+	SLAMF1	0.207347	0.000000	NaN
CD40LG	-	SLAMF1	-0.066238	0.000000	NaN
PTPRCAP	+	SLAMF1	0.223826	0.000000	NaN
LTB	-	SLAMF1	-0.034217	0.000000	NaN
GATA3	+	SLAMF1	0.100018	0.000000	NaN
LCK	-	SLAMF1	-0.281902	0.000000	NaN
BATF	+	SLAMF1	0.254893	0.000000	NaN
TRBC2	+	SLAMF1	0.454162	0.000000	NaN
GZMA	+	SLAMF1	0.042186	0.000000	NaN
TNFRSF25	+	SLAMF1	0.143452	0.000000	NaN
KIAA1551	+	SLAMF1	0.889036	0.000000	NaN
CXCR3	+	SLAMF1	0.519248	0.000000	NaN
DDIT4	+	SLAMF1	0.641945	0.000000	NaN
TC2N	+	SLAMF1	0.083478	0.000000	NaN
GZMM	+	SLAMF1	0.938674	0.000000	NaN
SH2D2A	+	SLAMF1	0.356113	0.000000	NaN
ITK	+	SLAMF1	0.918253	0.000000	NaN
HLA-DRB1	+	SLAMF1	0.037627	0.000000	NaN
TSPAN13	-	SLAMF1	-0.065624	0.000000	NaN
RGS1	-	SLAMF1	-0.005715	0.000000	NaN
APOBEC3G	-	SLAMF1	-0.219852	0.000000	NaN
PIM2	+	SLAMF1	0.790502	0.000000	NaN
TUBA4A	+	SLAMF1	0.274607	0.000000	NaN
RARRES3	+	SLAMF1	0.276113	0.000000	NaN
TCF7	-	SLAMF1	-0.258303	0.000000	NaN
KLRB1	-	SLAMF1	-0.025298	0.000000	NaN
GIMAP7	+	SLAMF1	1.326352	0.000000	NaN
CD247	+	SLAMF1	0.436138	0.000000	NaN
PGM2L1	+	SLAMF1	0.321839	0.000000	NaN
CD3D	+	SLAMF1	0.405062	0.000000	NaN
IL22	+	SLAMF1	0.050250	0.000000	NaN
CCL5	+	SLAMF1	0.020313	0.000000	NaN
CLEC2D	+	SLAMF1	0.414710	0.000000	NaN
CAMK4	+	SLAMF1	0.435921	0.000000	NaN
TRAV8-2	+	SLAMF1	1.024290	0.000000	NaN
CD74	+	SLAMF1	0.018888	0.000000	NaN
CD28	-	SLAMF1	-0.952174	0.000000	NaN
TNFRSF18	+	SLAMF1	0.758985	0.000000	NaN
CD52	+	SLAMF1	0.463061	0.000000	NaN
IL32	-	SLAMF1	-0.009689	0.000000	NaN
TRAV8-3	-	SLAMF1	-0.589275	0.000000	NaN
ZAP70	+	SLAMF1	0.110312	0.000000	NaN
ISG20	+	SLAMF1	0.820706	0.000000	NaN
CD69	+	SLAMF1	0.055031	0.000000	NaN
SLC38A1	-	SLAMF1	-0.181968	0.000000	NaN
LY9	-	SLAMF1	-0.047558	0.000000	NaN
HSPA8	+	SLAMF1	0.134374	0.000000	NaN
EVL	-	SLAMF1	-0.063196	0.000000	NaN
TOX	-	SLAMF1	-0.466318	0.000000	NaN
TRAT1	-	SLAMF1	-0.097651	0.000000	NaN
LAIR2	+	SLAMF1	0.433012	0.000000	NaN
CD82	-	SLAMF1	-0.057990	0.000000	NaN
ACTB	+	CST7	0.092160	0.000000	NaN
TIGIT	-	CST7	-1.714541	0.000000	NaN
BIRC3	+	CST7	2.836305	0.000000	NaN
SLAMF1	+	CST7	0.308646	0.000000	NaN
CST7	+	CST7	5.968057	0.000000	NaN
SAMSN1	+	CST7	8.129054	0.000000	NaN
HLA-DQA1	+	CST7	1.068031	0.000000	NaN
TMSB4X	+	CST7	0.552653	0.000000	NaN
TRBV4-1	-	CST7	-0.384519	0.000000	NaN
PTGER4	+	CST7	0.008984	0.000000	NaN
RHOH	-	CST7	-0.720437	0.000000	NaN
SH2D1A	-	CST7	-0.472894	0.000000	NaN
NBAS	-	CST7	-0.212325	0.000000	NaN
CD3E	+	CST7	0.478371	0.000000	NaN
ALOX5AP	+	CST7	0.679463	0.000000	NaN
SKAP1	-	CST7	-0.428593	0.000000	NaN
LIME1	-	CST7	-0.126807	0.000000	NaN
TNFRSF4	-	CST7	-0.015661	0.000000	NaN
SEPT1	+	CST7	0.512902	0.000000	NaN
TMC8	+	CST7	2.956013	0.000000	NaN
HLA-DPA1	+	CST7	0.839762	0.000000	NaN
IL2RG	+	CST7	3.109036	0.000000	NaN
GNLY	-	CST7	-0.098390	0.000000	NaN
CD3G	+	CST7	1.411242	0.000000	NaN
PTPN7	+	CST7	1.232678	0.000000	NaN
SIT1	-	CST7	-0.439567	0.000000	NaN
ZFP36L2	+	CST7	7.380766	0.000000	NaN
TMSB10	+	CST7	1.943195	0.000000	NaN
IKZF3	-	CST7	-0.974261	0.000000	NaN
ITM2A	-	CST7	-1.374551	0.000000	NaN
TAGAP	+	CST7	7.369321	0.000000	NaN
S100A10	+	CST7	4.179102	0.000000	NaN
TRAC	+	CST7	2.463165	0.000000	NaN
C12orf75	-	CST7	-0.906503	0.000000	NaN
CD96	+	CST7	0.716417	0.000000	NaN
SLC9A3R1	-	CST7	-2.508875	0.000000	NaN
DUSP2	+	CST7	4.942665	0.000000	NaN
SELL	+	CST7	4.903012	0.000000	NaN
TRBC1	+	CST7	4.216365	0.000000	NaN
HLA-DRB5	+	CST7	1.965233	0.000000	NaN
CXCR4	+	CST7	7.345555	0.000000	NaN
SRGN	+	CST7	7.021290	0.000000	NaN
RASAL3	+	CST7	2.535190	0.000000	NaN
LAT	+	CST7	0.132146	0.000000	NaN
CD2	+	CST7	1.375030	0.000000	NaN
IL7R	+	CST7	4.946173	0.000000	NaN
SYTL1	+	CST7	1.421584	0.000000	NaN
S100A4	+	CST7	2.630317	0.000000	NaN
CD40LG	-	CST7	-0.317578	0.000000	NaN
PTPRCAP	-	CST7	-0.206831	0.000000	NaN
LTB	+	CST7	0.093205	0.000000	NaN
GATA3	-	CST7	-3.015702	0.000000	NaN
LCK	-	CST7	-0.301061	0.000000	NaN
BATF	-	CST7	-0.135505	0.000000	NaN
TRBC2	+	CST7	2.376568	0.000000	NaN
GZMA	+	CST7	4.494084	0.000000	NaN
TNFRSF25	-	CST7	-2.113350	0.000000	NaN
KIAA1551	+	CST7	4.134636	0.000000	NaN
CXCR3	+	CST7	0.433803	0.000000	NaN
DDIT4	+	CST7	4.038827	0.000000	NaN
TC2N	+	CST7	1.896054	0.000000	NaN
GZMM	+	CST7	3.750792	0.000000	NaN
SH2D2A	-	CST7	-0.521217	0.000000	NaN
ITK	+	CST7	2.026072	0.000000	NaN
HLA-DRB1	+	CST7	1.250673	0.000000	NaN
TSPAN13	-	CST7	-1.410925	0.000000	NaN
RGS1	+	CST7	0.116181	0.000000	NaN
APOBEC3G	+	CST7	0.141238	0.000000	NaN
PIM2	+	CST7	0.616413	0.000000	NaN
TUBA4A	+	CST7	1.450594	0.000000	NaN
RARRES3	+	CST7	3.488247	0.000000	NaN
TCF7	-	CST7	-2.168373	0.000000	NaN
KLRB1	-	CST7	-1.388067	0.000000	NaN
GIMAP7	+	CST7	8.151803	0.000000	NaN
CD247	+	CST7	3.263514	0.000000	NaN
PGM2L1	-	CST7	-0.377761	0.000000	NaN
CD3D	+	CST7	0.065451	0.000000	NaN
IL22	-	CST7	-0.046158	0.000000	NaN
CCL5	+	CST7	4.111171	0.000000	NaN
CLEC2D	-	CST7	-0.099133	0.000000	NaN
CAMK4	+	CST7	1.985293	0.000000	NaN
TRAV8-2	+	CST7	0.840946	0.000000	NaN
CD74	+	CST7	0.387597	0.000000	NaN
CD28	-	CST7	-2.102085	0.000000	NaN
TNFRSF18	+	CST7	0.560757	0.000000	NaN
CD52	+	CST7	1.778798	0.000000	NaN
IL32	-	CST7	-0.172104	0.000000	NaN
TRAV8-3	-	CST7	-2.337413	0.000000	NaN
ZAP70	-	CST7	-0.380895	0.000000	NaN
ISG20	+	CST7	3.894281	0.000000	NaN
CD69	+	CST7	0.149857	0.000000	NaN
SLC38A1	+	CST7	1.549439	0.000000	NaN
LY9	-	CST7	-2.432403	0.000000	NaN
HSPA8	-	CST7	-0.046487	0.000000	NaN
EVL	-	CST7	-1.007683	0.000000	NaN
TOX	-	CST7	-3.003118	0.000000	NaN
TRAT1	+	CST7	0.353116	0.000000	NaN
LAIR2	-	CST7	-0.619542	0.000000	NaN
CD82	-	CST7	-1.181719	0.000000	NaN
ACTB	+	SAMSN1	0.237053	0.000000	NaN
TIGIT	-	SAMSN1	-0.370772	0.000000	NaN
BIRC3	+	SAMSN1	0.991160	0.000000	NaN
SLAMF1	+	SAMSN1	0.346066	0.000000	NaN
CST7	+	SAMSN1	0.961161	0.000000	NaN
SAMSN1	+	SAMSN1	3.839314	0.000000	NaN
HLA-DQA1	+	SAMSN1	1.191210	0.000000	NaN
