Parent	Type	Child	Weight	Probability	Score
IGKV1D-33	+	PPBP	0.000000	0.079142	0.000000
IGKV2D-29	+	PPBP	0.000000	0.065020	0.000000
IGKV2D-28	+	PPBP	0.000000	0.009166	0.000000
JCHAIN	+	PPBP	0.000000	0.005645	0.000000
PPBP	+	PPBP	0.000000	0.008873	0.000000
IGHG2	+	PPBP	0.000000	0.034158	0.000000
IGHGP	+	PPBP	0.000000	0.052753	0.000000
IGHA1	+	PPBP	0.000000	0.003422	0.000000
IGHG3	+	PPBP	0.000000	0.035258	0.000000
IGHV3-64D	+	PPBP	0.000000	0.074473	0.000000
IGHV5-10-1	+	PPBP	0.000000	0.009792	0.000000
IGHV4-39	+	PPBP	0.000000	0.017690	0.000000
IGHV3-48	+	PPBP	0.000000	0.009088	0.000000
IGHV4-59	+	PPBP	0.000000	0.009432	0.000000
IGHV4-61	+	PPBP	0.000000	0.012460	0.000000
TPSAB1	+	PPBP	0.000000	0.002377	0.000000
IGLV2-11	+	PPBP	0.000000	0.005702	0.000000
IGKV1-9	-	IGHG2	-0.002471	0.012917	-0.000109
IGKV3-20	+	IGHG2	0.051129	0.997928	0.174411
IGKV1-33	+	IGHG2	0.002426	0.074277	0.000616
IGKV1D-33	+	IGHG2	0.002397	0.082791	0.000678
IGKV2D-29	+	IGHG2	0.010134	0.089514	0.003101
IGKV2D-28	+	IGHG2	0.000604	0.009441	0.000020
JCHAIN	-	IGHG2	-0.008783	0.023467	-0.000705
PPBP	+	IGHG2	0.000000	0.008874	0.000000
IGHG2	-	IGHG2	-0.005576	0.045172	-0.000861
IGHGP	-	IGHG2	-0.016881	0.110776	-0.006392
IGHA1	+	IGHG2	0.011449	0.030915	0.001210
IGHG3	-	IGHG2	-0.006619	0.049738	-0.001125
IGHV3-64D	+	IGHG2	0.002683	0.078105	0.000716
IGHV5-10-1	+	IGHG2	0.049540	0.608776	0.103092
IGHV4-39	+	IGHG2	0.000323	0.019614	0.000022
IGHV3-48	-	IGHG2	-0.000206	0.009705	-0.000007
IGHV4-59	-	IGHG2	-0.018223	0.073024	-0.004549
IGHV4-61	+	IGHG2	0.005439	0.023579	0.000438
TPSAB1	+	IGHG2	0.000000	0.002385	0.000000
IGLV2-11	-	IGHG2	-0.001101	0.006411	-0.000024
IGKV1-9	+	IGHGP	0.000104	0.011091	0.000004
IGKV3-20	+	IGHGP	0.007451	0.029724	0.000757
IGKV1-33	+	IGHGP	0.000069	0.070807	0.000017
IGKV1D-33	+	IGHGP	0.000067	0.079162	0.000018
IGKV2D-29	+	IGHGP	0.000261	0.065128	0.000058
IGKV2D-28	+	IGHGP	0.000076	0.009171	0.000002
JCHAIN	-	IGHGP	-0.000471	0.005853	-0.000009
PPBP	+	IGHGP	0.000000	0.008874	0.000000
IGHG2	-	IGHGP	-0.000174	0.034215	-0.000020
IGHGP	-	IGHGP	-0.000559	0.053053	-0.000101
IGHA1	-	IGHGP	-0.000939	0.003870	-0.000012
IGHG3	-	IGHGP	-0.000179	0.035323	-0.000022
IGHV3-64D	+	IGHGP	0.000063	0.074492	0.000016
IGHV5-10-1	-	IGHGP	-0.000056	0.009795	-0.000002
IGHV4-39	+	IGHGP	0.000203	0.017769	0.000012
IGHV3-48	+	IGHGP	0.000074	0.009109	0.000002
IGHV4-59	-	IGHGP	-0.001126	0.010166	-0.000039
IGHV4-61	+	IGHGP	0.000089	0.012566	0.000004
TPSAB1	+	IGHGP	0.057128	0.999996	0.195278
IGLV2-11	+	IGHGP	0.000068	0.005726	0.000001
IGKV1-9	-	IGHA1	-0.066119	0.595380	-0.134563
IGKV3-20	+	IGHA1	0.033338	0.209744	0.023902
IGKV1-33	+	IGHA1	0.214777	0.999998	0.734167
IGKV1D-33	-	IGHA1	-0.146348	0.975373	-0.487939
IGKV2D-29	-	IGHA1	-0.051106	0.308104	-0.053825
IGKV2D-28	+	IGHA1	0.008027	0.014986	0.000411
JCHAIN	-	IGHA1	-0.035073	0.159134	-0.019078
PPBP	+	IGHA1	0.000000	0.008874	0.000000
IGHG2	-	IGHA1	-0.018035	0.097818	-0.006030
IGHGP	-	IGHA1	-0.099351	0.957658	-0.325231
IGHA1	+	IGHA1	0.067539	0.850603	0.196377
IGHG3	+	IGHA1	0.004819	0.061682	0.001016
IGHV3-64D	-	IGHA1	-0.102479	0.897779	-0.314494
IGHV5-10-1	+	IGHA1	0.016626	0.034811	0.001978
IGHV4-39	-	IGHA1	-0.082192	0.871982	-0.244989
IGHV3-48	+	IGHA1	0.089624	0.979009	0.299930
IGHV4-59	-	IGHA1	-0.078938	0.886376	-0.239173
IGHV4-61	+	IGHA1	0.146025	1.000000	0.499156
TPSAB1	+	IGHA1	0.000000	0.002385	0.000000
IGLV2-11	+	IGHA1	0.007319	0.017521	0.000438
IGKV1-9	-	IGHG3	-0.002296	0.013193	-0.000104
IGKV3-20	+	IGHG3	0.035583	0.848750	0.103237
IGKV1-33	-	IGHG3	-0.001941	0.090481	-0.000600
IGKV1D-33	-	IGHG3	-0.005387	0.106849	-0.001967
IGKV2D-29	+	IGHG3	0.003556	0.105893	0.001287
IGKV2D-28	-	IGHG3	-0.001109	0.010288	-0.000039
JCHAIN	+	IGHG3	0.000393	0.007636	0.000010
PPBP	+	IGHG3	0.000000	0.008874	0.000000
IGHG2	-	IGHG3	-0.078028	0.999598	-0.266613
IGHGP	-	IGHG3	-0.111033	0.999999	-0.379542
IGHA1	+	IGHG3	0.008914	0.023851	0.000727
IGHG3	+	IGHG3	0.138767	1.000000	0.474343
IGHV3-64D	+	IGHG3	0.012469	0.133896	0.005707
IGHV5-10-1	+	IGHG3	0.101640	1.000000	0.347436
IGHV4-39	+	IGHG3	0.000724	0.019171	0.000047
IGHV3-48	-	IGHG3	-0.000375	0.009663	-0.000012
IGHV4-59	-	IGHG3	-0.005337	0.016845	-0.000307
IGHV4-61	+	IGHG3	0.004848	0.026212	0.000434
TPSAB1	+	IGHG3	0.000000	0.002385	0.000000
IGLV2-11	-	IGHG3	-0.001405	0.006490	-0.000031
IGKV1-9	+	IGHV3-64D	0.000000	0.011056	0.000000
IGKV3-20	+	IGHV3-64D	0.000000	0.000160	0.000000
IGKV1-33	+	IGHV3-64D	0.000000	0.070786	0.000000
IGKV1D-33	+	IGHV3-64D	0.000000	0.079142	0.000000
IGKV2D-29	+	IGHV3-64D	0.000000	0.065020	0.000000
IGKV2D-28	+	IGHV3-64D	0.000000	0.009166	0.000000
JCHAIN	+	IGHV3-64D	0.000000	0.005645	0.000000
PPBP	+	IGHV3-64D	0.000000	0.008873	0.000000
IGHG2	+	IGHV3-64D	0.000000	0.034158	0.000000
IGHGP	+	IGHV3-64D	0.000000	0.052753	0.000000
IGHA1	+	IGHV3-64D	0.000000	0.003422	0.000000
IGHG3	+	IGHV3-64D	0.000000	0.035258	0.000000
IGHV3-64D	+	IGHV3-64D	0.000000	0.074473	0.000000
IGHV5-10-1	+	IGHV3-64D	0.000000	0.009792	0.000000
IGHV4-39	+	IGHV3-64D	0.000000	0.017690	0.000000
IGHV3-48	+	IGHV3-64D	0.000000	0.009088	0.000000
IGHV4-59	+	IGHV3-64D	0.000000	0.009432	0.000000
IGHV4-61	+	IGHV3-64D	0.000000	0.012460	0.000000
TPSAB1	+	IGHV3-64D	0.000000	0.002377	0.000000
IGLV2-11	+	IGHV3-64D	0.000000	0.005702	0.000000
IGKV1-9	+	IGHV5-10-1	0.009325	0.031048	0.000990
IGKV3-20	+	IGHV5-10-1	0.078936	1.000000	0.269825
IGKV1-33	+	IGHV5-10-1	0.003648	0.077253	0.000963
IGKV1D-33	+	IGHV5-10-1	0.002424	0.084173	0.000697
IGKV2D-29	+	IGHV5-10-1	0.004422	0.080758	0.001221
IGKV2D-28	+	IGHV5-10-1	0.003734	0.011458	0.000146
JCHAIN	-	IGHV5-10-1	-0.005480	0.018623	-0.000349
PPBP	+	IGHV5-10-1	0.000000	0.008874	0.000000
IGHG2	-	IGHV5-10-1	-0.002602	0.040407	-0.000359
IGHGP	-	IGHV5-10-1	-0.019494	0.141554	-0.009433
IGHA1	-	IGHV5-10-1	-0.031863	0.336969	-0.036701
IGHG3	-	IGHV5-10-1	-0.003812	0.045558	-0.000594
IGHV3-64D	-	IGHV5-10-1	-0.000154	0.076782	-0.000041
IGHV5-10-1	-	IGHV5-10-1	-0.001223	0.010241	-0.000043
IGHV4-39	+	IGHV5-10-1	0.015130	0.068669	0.003551
IGHV3-48	+	IGHV5-10-1	0.005784	0.017315	0.000342
IGHV4-59	-	IGHV5-10-1	-0.038963	0.450186	-0.059958
IGHV4-61	+	IGHV5-10-1	0.018087	0.101651	0.006285
TPSAB1	+	IGHV5-10-1	0.000000	0.002384	0.000000
IGLV2-11	+	IGHV5-10-1	0.002838	0.009691	0.000094
IGKV1-9	-	IGHV4-39	-0.127611	1.000000	-0.436212
IGKV3-20	+	IGHV4-39	0.003271	0.001546	0.000017
IGKV1-33	-	IGHV4-39	-0.118613	0.999996	-0.405452
IGKV1D-33	+	IGHV4-39	0.061762	0.795218	0.167887
IGKV2D-29	-	IGHV4-39	-0.033905	0.330330	-0.038284
IGKV2D-28	-	IGHV4-39	-0.004260	0.013166	-0.000192
JCHAIN	-	IGHV4-39	-0.042168	0.801341	-0.115506
PPBP	+	IGHV4-39	0.000000	0.008874	0.000000
IGHG2	+	IGHV4-39	0.067000	0.995189	0.227925
IGHGP	-	IGHV4-39	-0.022342	0.193477	-0.014776
IGHA1	-	IGHV4-39	-0.024460	0.200170	-0.016737
IGHG3	-	IGHV4-39	-0.007506	0.071209	-0.001827
IGHV3-64D	+	IGHV4-39	0.052519	0.661435	0.118744
IGHV5-10-1	+	IGHV4-39	0.004264	0.013689	0.000200
IGHV4-39	+	IGHV4-39	0.017836	0.103255	0.006295
IGHV3-48	+	IGHV4-39	0.189696	1.000000	0.648436
IGHV4-59	+	IGHV4-39	0.020533	0.127243	0.008931
IGHV4-61	+	IGHV4-39	0.015264	0.089481	0.004669
TPSAB1	+	IGHV4-39	0.000000	0.002385	0.000000
IGLV2-11	+	IGHV4-39	0.018736	0.112373	0.007197
IGKV1-9	+	IGHV3-48	0.173276	1.000000	0.592305
IGKV3-20	+	IGHV3-48	0.020285	0.132522	0.009189
IGKV1-33	+	IGHV3-48	0.038090	0.412039	0.053649
IGKV1D-33	+	IGHV3-48	0.033651	0.354685	0.040799
IGKV2D-29	-	IGHV3-48	-0.064864	0.738840	-0.163818
IGKV2D-28	+	IGHV3-48	0.023927	0.113699	0.009299
JCHAIN	-	IGHV3-48	-0.110991	1.000000	-0.379399
PPBP	+	IGHV3-48	0.000000	0.008874	0.000000
IGHG2	-	IGHV3-48	-0.080577	0.997623	-0.274781
IGHGP	-	IGHV3-48	-0.042047	0.375942	-0.054033
IGHA1	+	IGHV3-48	0.067607	0.000000	0.000000
IGHG3	-	IGHV3-48	-0.015368	0.099180	-0.005210
IGHV3-64D	+	IGHV3-48	0.009761	0.125917	0.004201
IGHV5-10-1	-	IGHV3-48	-0.001379	0.010992	-0.000052
IGHV4-39	+	IGHV3-48	0.176224	1.000000	0.602383
IGHV3-48	-	IGHV3-48	-0.087074	0.999931	-0.297622
IGHV4-59	-	IGHV3-48	-0.059927	0.879515	-0.180167
IGHV4-61	+	IGHV3-48	0.139945	1.000000	0.478374
TPSAB1	+	IGHV3-48	0.000000	0.002385	0.000000
IGLV2-11	-	IGHV3-48	-0.098441	1.000000	-0.336500
IGKV1-9	+	IGHV4-59	0.126183	1.000000	0.431328
IGKV3-20	+	IGHV4-59	0.032189	0.422748	0.046516
IGKV1-33	+	IGHV4-59	0.042804	0.399554	0.058461
IGKV1D-33	-	IGHV4-59	-0.043951	0.422300	-0.063445
IGKV2D-29	+	IGHV4-59	0.087650	0.942724	0.282451
IGKV2D-28	-	IGHV4-59	-0.003419	0.012512	-0.000146
JCHAIN	+	IGHV4-59	0.148255	1.000000	0.506776
PPBP	+	IGHV4-59	0.000000	0.008874	0.000000
IGHG2	+	IGHV4-59	0.125234	1.000000	0.428086
IGHGP	-	IGHV4-59	-0.127463	0.999992	-0.435702
IGHA1	+	IGHV4-59	0.110015	0.000000	0.000000
IGHG3	-	IGHV4-59	-0.054689	0.599070	-0.111992
IGHV3-64D	-	IGHV4-59	-0.125503	0.999853	-0.428941
IGHV5-10-1	-	IGHV4-59	-0.002504	0.012250	-0.000105
IGHV4-39	-	IGHV4-59	-0.058742	0.777565	-0.156131
IGHV3-48	-	IGHV4-59	-0.111634	1.000000	-0.381598
IGHV4-59	-	IGHV4-59	-0.082786	0.999845	-0.282941
IGHV4-61	-	IGHV4-59	-0.026869	0.160691	-0.014759
TPSAB1	+	IGHV4-59	0.000000	0.002385	0.000000
IGLV2-11	-	IGHV4-59	-0.029562	0.190651	-0.019266
IGKV1-9	-	IGHV4-61	-0.048011	0.405901	-0.066614
IGKV3-20	+	IGHV4-61	0.055243	0.992397	0.187399
IGKV1-33	-	IGHV4-61	-0.008927	0.114846	-0.003505
IGKV1D-33	-	IGHV4-61	-0.022764	0.178143	-0.013862
IGKV2D-29	+	IGHV4-61	0.080416	0.812644	0.223382
IGKV2D-28	-	IGHV4-61	-0.004968	0.012261	-0.000208
JCHAIN	+	IGHV4-61	0.114917	1.000000	0.392819
PPBP	+	IGHV4-61	0.000000	0.008874	0.000000
IGHG2	+	IGHV4-61	0.010990	0.065984	0.002479
IGHGP	-	IGHV4-61	-0.041650	0.287320	-0.040906
IGHA1	-	IGHV4-61	-0.003064	0.009927	-0.000104
IGHG3	+	IGHV4-61	0.007234	0.058180	0.001439
IGHV3-64D	+	IGHV4-61	0.018647	0.127868	0.008151
IGHV5-10-1	+	IGHV4-61	0.002986	0.011304	0.000115
IGHV4-39	-	IGHV4-61	-0.132481	1.000000	-0.452859
IGHV3-48	-	IGHV4-61	-0.026908	0.119011	-0.010947
IGHV4-59	+	IGHV4-61	0.048055	0.391050	0.064237
IGHV4-61	-	IGHV4-61	-0.085943	0.996710	-0.292811
TPSAB1	+	IGHV4-61	0.000000	0.002385	0.000000
IGLV2-11	+	IGHV4-61	0.142660	1.000000	0.487652
IGKV1-9	+	TPSAB1	0.000000	0.011056	0.000000
IGKV3-20	+	TPSAB1	0.000000	0.000156	0.000000
IGKV1-33	+	TPSAB1	0.000000	0.070786	0.000000
IGKV1D-33	+	TPSAB1	0.000000	0.079142	0.000000
IGKV2D-29	+	TPSAB1	0.000000	0.065020	0.000000
IGKV2D-28	+	TPSAB1	0.000000	0.009166	0.000000
JCHAIN	+	TPSAB1	0.000000	0.005641	0.000000
PPBP	+	TPSAB1	0.000000	0.008873	0.000000
IGHG2	+	TPSAB1	0.000000	0.034157	0.000000
IGHGP	+	TPSAB1	0.000000	0.052752	0.000000
IGHA1	+	TPSAB1	0.000000	0.003419	0.000000
IGHG3	+	TPSAB1	0.000000	0.035258	0.000000
IGHV3-64D	+	TPSAB1	0.000000	0.074472	0.000000
IGHV5-10-1	+	TPSAB1	0.000000	0.009792	0.000000
IGHV4-39	+	TPSAB1	0.000000	0.017690	0.000000
IGHV3-48	+	TPSAB1	0.000000	0.009087	0.000000
IGHV4-59	+	TPSAB1	0.000000	0.009431	0.000000
IGHV4-61	+	TPSAB1	0.000000	0.012458	0.000000
TPSAB1	+	TPSAB1	0.000000	0.002376	0.000000
IGLV2-11	+	TPSAB1	0.000000	0.005700	0.000000
IGKV1-9	-	IGLV2-11	-0.021765	0.088059	-0.006551
IGKV3-20	+	IGLV2-11	0.051551	0.984891	0.173553
IGKV1-33	-	IGLV2-11	-0.053863	0.618077	-0.113799
IGKV1D-33	-	IGLV2-11	-0.091876	0.992075	-0.311569
IGKV2D-29	+	IGLV2-11	0.051253	0.415285	0.072757
IGKV2D-28	-	IGLV2-11	-0.020703	0.072289	-0.005116
JCHAIN	-	IGLV2-11	-0.012035	0.040629	-0.001671
PPBP	+	IGLV2-11	0.000000	0.008874	0.000000
IGHG2	+	IGLV2-11	0.052424	0.529751	0.094932
IGHGP	+	IGLV2-11	0.076393	0.875763	0.228692
IGHA1	+	IGLV2-11	0.050335	0.692829	0.119209
IGHG3	+	IGLV2-11	0.040497	0.291939	0.040414
IGHV3-64D	+	IGLV2-11	0.063899	0.593219	0.129573
IGHV5-10-1	-	IGLV2-11	-0.020602	0.071254	-0.005018
IGHV4-39	-	IGLV2-11	-0.221936	1.000000	-0.758639
IGHV3-48	+	IGLV2-11	0.008338	0.023516	0.000670
IGHV4-59	+	IGLV2-11	0.148205	1.000000	0.506606
IGHV4-61	-	IGLV2-11	-0.150455	1.000000	-0.514298
TPSAB1	+	IGLV2-11	0.000000	0.002385	0.000000
IGLV2-11	+	IGLV2-11	0.288821	1.000000	0.987272
