SourceGENES,TargetGENES,Interaction,Edges
IGKV1.9,JCHAIN,0,no regulation
IGKV1.9,PPBP,0,no regulation
IGKV1.9,IGHGP,0,no regulation
IGKV1.9,IGHG3,0,no regulation
IGKV1.9,IGHV3.64D,0,no regulation
IGKV1.9,IGHV5.10.1,0,no regulation
IGKV1.9,IGHV4.39,0,no regulation
IGKV1.9,IGHV3.48,0,no regulation
IGKV1.9,IGHV4.59,0,no regulation
IGKV1.9,IGHV4.61,0,no regulation
IGKV1.9,TPSAB1,0,no regulation
IGKV1.9,IGLV2.11,0,no regulation
IGKV3.20,IGKV1.9,0,no regulation
IGKV3.20,IGKV1.33,0,no regulation
IGKV3.20,IGKV1D.33,0,no regulation
IGKV3.20,IGKV2D.29,0,no regulation
IGKV3.20,IGKV2D.28,0,no regulation
IGKV3.20,IGHG2,0,no regulation
IGKV3.20,IGHGP,0,no regulation
IGKV3.20,IGHG3,0,no regulation
IGKV3.20,IGHV3.64D,0,no regulation
IGKV3.20,IGHV4.39,0,no regulation
IGKV3.20,IGHV3.48,0,no regulation
IGKV3.20,IGHV4.59,0,no regulation
IGKV3.20,IGHV4.61,0,no regulation
IGKV1.33,IGKV1.9,0,no regulation
IGKV1.33,IGKV3.20,0,no regulation
IGKV1.33,IGKV1.33,0,no regulation
IGKV1.33,IGKV1D.33,0,no regulation
IGKV1.33,IGKV2D.29,0,no regulation
IGKV1.33,JCHAIN,0,no regulation
IGKV1.33,PPBP,0,no regulation
IGKV1.33,IGHGP,0,no regulation
IGKV1.33,IGHG3,0,no regulation
IGKV1.33,IGHV3.64D,0,no regulation
IGKV1.33,IGHV5.10.1,0,no regulation
IGKV1.33,IGHV4.39,0,no regulation
IGKV1.33,IGHV3.48,0,no regulation
IGKV1.33,IGHV4.59,0,no regulation
IGKV1.33,IGHV4.61,0,no regulation
IGKV1.33,TPSAB1,0,no regulation
IGKV1.33,IGLV2.11,0,no regulation
IGKV1D.33,IGKV1.9,0,no regulation
IGKV1D.33,IGKV1.33,0,no regulation
IGKV1D.33,IGKV1D.33,0,no regulation
IGKV1D.33,IGKV2D.29,0,no regulation
IGKV1D.33,IGKV2D.28,0,no regulation
IGKV1D.33,IGHGP,0,no regulation
IGKV1D.33,IGHA1,0,no regulation
IGKV1D.33,IGHG3,0,no regulation
IGKV1D.33,IGHV3.64D,0,no regulation
IGKV1D.33,IGHV5.10.1,0,no regulation
IGKV1D.33,IGHV4.39,0,no regulation
IGKV1D.33,IGHV3.48,0,no regulation
IGKV1D.33,IGHV4.59,0,no regulation
IGKV1D.33,IGHV4.61,0,no regulation
IGKV1D.33,IGLV2.11,0,no regulation
IGKV2D.29,IGKV1.9,0,no regulation
IGKV2D.29,IGKV3.20,0,no regulation
IGKV2D.29,IGKV1.33,0,no regulation
IGKV2D.29,IGKV2D.28,0,no regulation
IGKV2D.29,JCHAIN,0,no regulation
IGKV2D.29,IGHG2,0,no regulation
IGKV2D.29,IGHGP,0,no regulation
IGKV2D.29,IGHA1,0,no regulation
IGKV2D.29,IGHG3,0,no regulation
IGKV2D.29,IGHV3.64D,0,no regulation
IGKV2D.29,IGHV5.10.1,0,no regulation
IGKV2D.29,IGHV4.39,0,no regulation
IGKV2D.29,IGHV4.59,0,no regulation
IGKV2D.29,IGHV4.61,0,no regulation
IGKV2D.29,TPSAB1,0,no regulation
IGKV2D.28,IGKV1.9,0,no regulation
IGKV2D.28,IGKV3.20,0,no regulation
IGKV2D.28,IGKV1.33,0,no regulation
IGKV2D.28,JCHAIN,0,no regulation
IGKV2D.28,PPBP,0,no regulation
IGKV2D.28,IGHGP,0,no regulation
IGKV2D.28,IGHG3,0,no regulation
IGKV2D.28,IGHV3.64D,0,no regulation
IGKV2D.28,IGHV5.10.1,0,no regulation
IGKV2D.28,IGHV4.39,0,no regulation
IGKV2D.28,IGHV4.59,0,no regulation
IGKV2D.28,IGHV4.61,0,no regulation
IGKV2D.28,TPSAB1,0,no regulation
JCHAIN,IGKV1.9,0,no regulation
JCHAIN,IGKV1.33,0,no regulation
JCHAIN,IGKV1D.33,0,no regulation
JCHAIN,IGKV2D.29,0,no regulation
JCHAIN,IGKV2D.28,0,no regulation
JCHAIN,IGHG2,0,no regulation
JCHAIN,IGHGP,0,no regulation
JCHAIN,IGHG3,0,no regulation
JCHAIN,IGHV3.64D,0,no regulation
JCHAIN,IGHV4.39,0,no regulation
JCHAIN,IGHV3.48,0,no regulation
JCHAIN,IGHV4.59,0,no regulation
JCHAIN,IGHV4.61,0,no regulation
JCHAIN,IGLV2.11,0,no regulation
PPBP,IGKV1.9,0,no regulation
PPBP,IGKV1.33,0,no regulation
PPBP,IGKV1D.33,0,no regulation
PPBP,IGKV2D.29,0,no regulation
PPBP,IGKV2D.28,0,no regulation
PPBP,IGHG2,0,no regulation
PPBP,IGHGP,0,no regulation
PPBP,IGHA1,0,no regulation
PPBP,IGHG3,0,no regulation
PPBP,IGHV3.64D,0,no regulation
PPBP,IGHV4.39,0,no regulation
PPBP,IGHV3.48,0,no regulation
PPBP,IGHV4.59,0,no regulation
PPBP,IGHV4.61,0,no regulation
PPBP,IGLV2.11,0,no regulation
IGHG2,IGKV1.9,0,no regulation
IGHG2,IGKV3.20,0,no regulation
IGHG2,IGKV1.33,0,no regulation
IGHG2,JCHAIN,0,no regulation
IGHG2,PPBP,0,no regulation
IGHG2,IGHGP,0,no regulation
IGHG2,IGHG3,0,no regulation
IGHG2,IGHV3.64D,0,no regulation
IGHG2,IGHV5.10.1,0,no regulation
IGHG2,IGHV4.39,0,no regulation
IGHG2,IGHV4.59,0,no regulation
IGHG2,IGHV4.61,0,no regulation
IGHG2,TPSAB1,0,no regulation
IGHGP,IGKV1.9,0,no regulation
IGHGP,IGKV3.20,0,no regulation
IGHGP,IGKV1.33,0,no regulation
IGHGP,IGKV1D.33,0,no regulation
IGHGP,IGKV2D.29,0,no regulation
IGHGP,JCHAIN,0,no regulation
IGHGP,PPBP,0,no regulation
IGHGP,IGHGP,0,no regulation
IGHGP,IGHG3,0,no regulation
IGHGP,IGHV3.64D,0,no regulation
IGHGP,IGHV5.10.1,0,no regulation
IGHGP,IGHV4.39,0,no regulation
IGHGP,IGHV3.48,0,no regulation
IGHGP,IGHV4.59,0,no regulation
IGHGP,IGHV4.61,0,no regulation
IGHGP,TPSAB1,0,no regulation
IGHGP,IGLV2.11,0,no regulation
IGHA1,IGKV3.20,0,no regulation
IGHA1,JCHAIN,0,no regulation
IGHA1,PPBP,0,no regulation
IGHA1,IGHV5.10.1,0,no regulation
IGHA1,TPSAB1,0,no regulation
IGHA1,IGLV2.11,0,no regulation
IGHG3,IGKV1.9,0,no regulation
IGHG3,IGKV3.20,0,no regulation
IGHG3,IGKV1.33,0,no regulation
IGHG3,IGKV1D.33,0,no regulation
IGHG3,IGKV2D.29,0,no regulation
IGHG3,JCHAIN,0,no regulation
IGHG3,PPBP,0,no regulation
IGHG3,IGHGP,0,no regulation
IGHG3,IGHG3,0,no regulation
IGHG3,IGHV3.64D,0,no regulation
IGHG3,IGHV5.10.1,0,no regulation
IGHG3,IGHV4.39,0,no regulation
IGHG3,IGHV3.48,0,no regulation
IGHG3,IGHV4.59,0,no regulation
IGHG3,IGHV4.61,0,no regulation
IGHG3,TPSAB1,0,no regulation
IGHG3,IGLV2.11,0,no regulation
IGHV3.64D,IGKV1.9,0,no regulation
IGHV3.64D,IGKV1.33,0,no regulation
IGHV3.64D,IGKV1D.33,0,no regulation
IGHV3.64D,IGKV2D.29,0,no regulation
IGHV3.64D,IGKV2D.28,0,no regulation
IGHV3.64D,IGHG2,0,no regulation
IGHV3.64D,IGHGP,0,no regulation
IGHV3.64D,IGHA1,0,no regulation
IGHV3.64D,IGHG3,0,no regulation
IGHV3.64D,IGHV3.64D,0,no regulation
IGHV3.64D,IGHV4.39,0,no regulation
IGHV3.64D,IGHV3.48,0,no regulation
IGHV3.64D,IGHV4.59,0,no regulation
IGHV3.64D,IGHV4.61,0,no regulation
IGHV3.64D,IGLV2.11,0,no regulation
IGHV5.10.1,IGKV3.20,0,no regulation
IGHV5.10.1,IGKV1D.33,0,no regulation
IGHV5.10.1,IGKV2D.29,0,no regulation
IGHV5.10.1,IGKV2D.28,0,no regulation
IGHV5.10.1,JCHAIN,0,no regulation
IGHV5.10.1,PPBP,0,no regulation
IGHV5.10.1,IGHG2,0,no regulation
IGHV5.10.1,IGHV5.10.1,0,no regulation
IGHV5.10.1,IGHV3.48,0,no regulation
IGHV5.10.1,TPSAB1,0,no regulation
IGHV4.39,IGKV1.9,0,no regulation
IGHV4.39,IGKV3.20,0,no regulation
IGHV4.39,IGKV1.33,0,no regulation
IGHV4.39,IGKV1D.33,0,no regulation
IGHV4.39,IGKV2D.29,0,no regulation
IGHV4.39,JCHAIN,0,no regulation
IGHV4.39,PPBP,0,no regulation
IGHV4.39,IGHGP,0,no regulation
IGHV4.39,IGHG3,0,no regulation
IGHV4.39,IGHV3.64D,0,no regulation
IGHV4.39,IGHV5.10.1,0,no regulation
IGHV4.39,IGHV4.39,0,no regulation
IGHV4.39,IGHV3.48,0,no regulation
IGHV4.39,IGHV4.59,0,no regulation
IGHV4.39,IGHV4.61,0,no regulation
IGHV4.39,TPSAB1,0,no regulation
IGHV4.39,IGLV2.11,0,no regulation
IGHV3.48,IGKV1.9,0,no regulation
IGHV3.48,IGKV1.33,0,no regulation
IGHV3.48,IGKV2D.29,0,no regulation
IGHV3.48,IGKV2D.28,0,no regulation
IGHV3.48,IGHG2,0,no regulation
IGHV3.48,IGHGP,0,no regulation
IGHV3.48,IGHA1,0,no regulation
IGHV3.48,IGHG3,0,no regulation
IGHV3.48,IGHV3.64D,0,no regulation
IGHV3.48,IGHV5.10.1,0,no regulation
IGHV3.48,IGHV4.39,0,no regulation
IGHV3.48,IGHV3.48,0,no regulation
IGHV3.48,IGHV4.59,0,no regulation
IGHV3.48,IGHV4.61,0,no regulation
IGHV3.48,IGLV2.11,0,no regulation
IGHV4.59,IGKV1.9,0,no regulation
IGHV4.59,IGKV3.20,0,no regulation
IGHV4.59,IGKV1.33,0,no regulation
IGHV4.59,IGKV1D.33,0,no regulation
IGHV4.59,IGKV2D.29,0,no regulation
IGHV4.59,JCHAIN,0,no regulation
IGHV4.59,PPBP,0,no regulation
IGHV4.59,IGHGP,0,no regulation
IGHV4.59,IGHG3,0,no regulation
IGHV4.59,IGHV3.64D,0,no regulation
IGHV4.59,IGHV5.10.1,0,no regulation
IGHV4.59,IGHV4.39,0,no regulation
IGHV4.59,IGHV3.48,0,no regulation
IGHV4.59,IGHV4.59,0,no regulation
IGHV4.59,IGHV4.61,0,no regulation
IGHV4.59,TPSAB1,0,no regulation
IGHV4.59,IGLV2.11,0,no regulation
IGHV4.61,IGKV1.9,0,no regulation
IGHV4.61,IGKV3.20,0,no regulation
IGHV4.61,IGKV1.33,0,no regulation
IGHV4.61,IGKV1D.33,0,no regulation
IGHV4.61,IGKV2D.29,0,no regulation
IGHV4.61,JCHAIN,0,no regulation
IGHV4.61,PPBP,0,no regulation
IGHV4.61,IGHGP,0,no regulation
IGHV4.61,IGHG3,0,no regulation
IGHV4.61,IGHV3.64D,0,no regulation
IGHV4.61,IGHV5.10.1,0,no regulation
IGHV4.61,IGHV4.39,0,no regulation
IGHV4.61,IGHV3.48,0,no regulation
IGHV4.61,IGHV4.59,0,no regulation
IGHV4.61,IGHV4.61,0,no regulation
IGHV4.61,TPSAB1,0,no regulation
IGHV4.61,IGLV2.11,0,no regulation
TPSAB1,IGKV1.9,0,no regulation
TPSAB1,IGKV1.33,0,no regulation
TPSAB1,IGKV1D.33,0,no regulation
TPSAB1,IGKV2D.29,0,no regulation
TPSAB1,IGKV2D.28,0,no regulation
TPSAB1,IGHG2,0,no regulation
TPSAB1,IGHGP,0,no regulation
TPSAB1,IGHA1,0,no regulation
TPSAB1,IGHG3,0,no regulation
TPSAB1,IGHV3.64D,0,no regulation
TPSAB1,IGHV4.39,0,no regulation
TPSAB1,IGHV3.48,0,no regulation
TPSAB1,IGHV4.59,0,no regulation
TPSAB1,IGHV4.61,0,no regulation
IGLV2.11,IGKV3.20,0,no regulation
IGLV2.11,JCHAIN,0,no regulation
IGLV2.11,PPBP,0,no regulation
IGLV2.11,IGHV5.10.1,0,no regulation
IGLV2.11,TPSAB1,0,no regulation
IGLV2.11,IGLV2.11,0,no regulation
