TF	target	importance
WT1pKTS	WT1mKTS	41.8005484443628
DKK1	AMH	41.37880444951727
RSPO1	UGR	41.34607231147571
NR0B1	AMH	41.249058627202444
NR5A1	WNT4	40.25204708549909
NR0B1	WT1mKTS	39.80346521113268
CBX2	NR0B1	39.74074274898275
FOXL2	CBX2	39.59700090750364
NR0B1	NR5A1	39.35729944590598
SRY	SOX9	38.962922815910964
PGD2	NR5A1	38.90424767302292
DMRT1	WNT4	38.879327281831415
GATA4	UGR	38.514713751609904
WT1pKTS	DMRT1	38.24973694085979
CBX2	CTNNB1	37.93251507869863
DKK1	WNT4	37.836370743092594
NR0B1	GATA4	37.497390937528486
DKK1	DHH	37.46727599439649
AMH	CBX2	37.362804789805296
AMH	NR5A1	37.204722254558305
WNT4	WT1pKTS	37.09437983202203
SOX9	RSPO1	36.808987651963406
SRY	CBX2	36.64489158000851
WNT4	GATA4	36.13085719044113
NR5A1	UGR	36.1242989537304
WT1pKTS	RSPO1	35.55801773327886
CTNNB1	DKK1	35.44597934365019
UGR	CTNNB1	35.36931808427067
UGR	RSPO1	34.75032730575899
FOXL2	WNT4	34.721164446214125
UGR	DMRT1	34.020482769109954
DKK1	WT1pKTS	34.01210687999073
DMRT1	DHH	33.98417794960734
NR5A1	DHH	33.93110403633358
WT1mKTS	UGR	33.8826580149849
FGF9	SRY	33.663639436761926
FOXL2	DMRT1	33.52019296464367
DKK1	CTNNB1	33.41813711332224
RSPO1	SRY	33.055261139291254
WNT4	FGF9	33.016409211627085
SOX9	WT1pKTS	32.99037319099597
SOX9	WNT4	32.6005550954604
UGR	WT1mKTS	32.33786611140476
NR5A1	SOX9	32.28846145093684
DHH	SRY	32.01817770514023
WNT4	WT1mKTS	31.73503357366973
NR5A1	DMRT1	31.604878061549208
CBX2	WT1mKTS	31.21715666095299
DKK1	UGR	31.16293747506557
DMRT1	NR5A1	31.086796870533668
UGR	NR5A1	30.796272884057768
WT1pKTS	WNT4	30.79608821657423
AMH	SRY	30.54236383078932
WT1mKTS	NR0B1	30.365410142234545
DMRT1	RSPO1	30.149002880198147
DMRT1	FGF9	30.013042589391812
FOXL2	NR0B1	29.9779339308743
WT1mKTS	CBX2	29.794379094856595
SRY	GATA4	29.64197040251612
FOXL2	UGR	29.60295821409097
UGR	WNT4	29.134302304751877
DHH	WNT4	28.704817718016184
RSPO1	GATA4	28.31876071816347
GATA4	NR0B1	28.140328857287074
CTNNB1	PGD2	28.12916950226428
NR5A1	PGD2	27.804847899626132
WNT4	PGD2	27.622672149611226
UGR	SRY	27.56745197716328
NR0B1	SOX9	27.462221709486073
SRY	WNT4	27.459020332619154
DKK1	NR5A1	27.446646172919205
PGD2	WNT4	27.389854253522728
WT1pKTS	UGR	27.33627315567761
WNT4	AMH	26.842902731503305
WT1pKTS	GATA4	26.740994440359657
SRY	RSPO1	26.699683906014332
CBX2	GATA4	26.62164382610061
SRY	DHH	26.515021095149535
CTNNB1	WT1mKTS	26.296471148088568
CBX2	FOXL2	26.131953545248447
SRY	AMH	26.06845691616145
RSPO1	AMH	25.90089510686285
CBX2	DKK1	25.75939111037908
CTNNB1	GATA4	25.700843806313145
FOXL2	DKK1	25.62518948769997
DKK1	RSPO1	25.48203408348068
NR5A1	WT1mKTS	25.187915638011955
UGR	DKK1	25.162157343238437
DMRT1	CTNNB1	24.849683071665574
NR5A1	SRY	24.68217845840965
FGF9	CBX2	24.552749388369126
CBX2	WT1pKTS	24.37118770405385
RSPO1	WT1mKTS	24.307809736825455
RSPO1	SOX9	23.82734317572978
NR5A1	FGF9	23.675377340298414
WNT4	SRY	22.88104284376626
PGD2	RSPO1	22.592629247402837
FGF9	UGR	22.545038761773156
NR0B1	DKK1	22.402732308585808
SRY	NR0B1	21.881751051264356
UGR	SOX9	21.528043287573897
GATA4	WNT4	21.39140166162873
DMRT1	PGD2	21.101302083992067
WT1pKTS	NR0B1	20.92050915858151
NR0B1	DMRT1	20.810245486425192
DHH	RSPO1	20.68029430933351
PGD2	UGR	20.63457018823785
FOXL2	WT1mKTS	20.583276378426355
DHH	UGR	20.53058819176658
CBX2	PGD2	19.85199388664489
PGD2	CBX2	19.82514834618134
FGF9	WT1pKTS	19.372196336714516
CTNNB1	SOX9	18.740626946309117
WT1mKTS	WNT4	18.61501875141999
NR0B1	WT1pKTS	18.293449812892067
CBX2	SRY	18.255702575667257
NR5A1	AMH	18.008879082446416
CBX2	DHH	17.94041004413535
AMH	RSPO1	17.85358614565901
NR5A1	DKK1	17.467329141103633
FOXL2	SOX9	17.283225285758412
UGR	FOXL2	17.22095985221607
GATA4	NR5A1	17.17616454074494
CBX2	WNT4	17.030208633204673
GATA4	CBX2	16.891517541308755
AMH	CTNNB1	16.883017839362424
DMRT1	GATA4	16.86427809179237
DKK1	WT1mKTS	16.500683262318567
DHH	NR5A1	16.18586802826261
SOX9	UGR	16.160223111775554
DHH	CBX2	16.080758992910987
GATA4	RSPO1	15.993133113818372
RSPO1	DKK1	15.797739301110028
CBX2	FGF9	15.729356173245868
WT1mKTS	WT1pKTS	15.484382117029293
FOXL2	GATA4	15.463698309987885
WT1mKTS	DMRT1	15.455404771549343
SOX9	WT1mKTS	15.35846844203118
SOX9	CTNNB1	15.275668558423728
AMH	WNT4	15.258325187701775
SRY	WT1mKTS	15.223604308416885
DKK1	NR0B1	14.795611457972957
DHH	CTNNB1	14.517073659304627
RSPO1	PGD2	14.445593505714772
DHH	WT1pKTS	14.408582299909817
NR0B1	SRY	14.375114028235096
DKK1	GATA4	14.285811797522486
DMRT1	NR0B1	14.107330924542898
PGD2	CTNNB1	13.739425274717169
WT1pKTS	AMH	13.696386278053264
WT1mKTS	DKK1	13.57967655380643
GATA4	WT1pKTS	13.51753417565058
SRY	PGD2	13.475356755924757
FGF9	WT1mKTS	13.088164675826418
PGD2	WT1pKTS	12.832184901631413
WT1mKTS	NR5A1	12.591863992606367
DMRT1	WT1mKTS	12.536453099736168
AMH	WT1pKTS	12.350780807057578
WT1mKTS	SRY	12.332806712340483
WT1mKTS	RSPO1	12.326424204244015
WT1pKTS	DHH	12.316294886335985
PGD2	FOXL2	12.242069065164483
WT1pKTS	FGF9	12.182367656501196
SOX9	GATA4	12.117623199535906
FGF9	RSPO1	11.972577861658557
FGF9	FOXL2	11.94769746080385
RSPO1	DHH	11.935604560352873
WT1pKTS	PGD2	11.927400162989395
RSPO1	FGF9	11.479756697103825
PGD2	GATA4	11.171576373932279
AMH	UGR	10.838792623248183
CTNNB1	FGF9	10.81515347202125
DHH	GATA4	10.654171940643717
DHH	WT1mKTS	10.520335266713818
WT1mKTS	FOXL2	10.113651279027005
PGD2	WT1mKTS	10.080859260595616
WT1pKTS	SOX9	9.954503251708394
CBX2	SOX9	9.908553568184105
GATA4	DKK1	9.496197165109924
FGF9	GATA4	9.033457283578427
WT1mKTS	CTNNB1	8.873521297223634
AMH	WT1mKTS	8.87185586021054
UGR	WT1pKTS	8.8400162206263
CBX2	AMH	8.839266784658722
FOXL2	PGD2	8.799469427868665
FOXL2	DHH	8.253030936319766
GATA4	SRY	8.108698021093229
AMH	GATA4	7.97766291551885
FOXL2	FGF9	7.92127774064367
SOX9	FOXL2	7.7415720141321716
UGR	FGF9	7.483520679485457
CTNNB1	DHH	7.451520697402926
UGR	AMH	7.4258991046321
FGF9	CTNNB1	7.094965068317963
GATA4	CTNNB1	7.01521277006444
GATA4	SOX9	6.967652878975506
GATA4	DMRT1	6.9225304758196495
UGR	PGD2	6.790962135634536
AMH	FOXL2	6.151732532040852
FOXL2	AMH	6.0852832599546325
GATA4	FOXL2	6.041919179436283
WT1mKTS	PGD2	5.177912380813235
WT1mKTS	AMH	5.079020798016294
DHH	FOXL2	4.842830626776054
WT1mKTS	SOX9	4.692792893095907
UGR	DHH	4.465983415662955
CTNNB1	AMH	3.8306842875138796
WT1mKTS	DHH	3.4641472539831724
WT1mKTS	FGF9	2.6239223012431125
GATA4	DHH	2.361367196919608
GATA4	AMH	2.3425631217372143
GATA4	PGD2	2.0075144656327506
GATA4	FGF9	1.7494230522199332
